"Title","Href","Author","Date","Abstract","Keywords","University Name"
"AI-T: software testing ontology for AI-based systems","https://research-portal.uws.ac.uk/en/publications/ai-t-software-testing-ontology-for-ai-based-systems","Olszewska, J. I.","2020","Software testing is an expanding area which presents an increasing complexity. Indeed, on one hand, there is the development of technologies such as Software Testing as a Service (TaaS), and on the other hand, there is a growing number of Artificial Intelligence (AI)-based softwares. Hence, this work is about the development of an ontological framework for AI-softwares’ Testing (AI-T), which domain covers both software testing and explainable artificial intelligence; the goal being to produce an ontology which guides the testing of AI softwares, in an effective and interoperable way. For this purpose, AI-T ontology includes temporal interval logic modelling of the software testing process as well as ethical principle formalization and has been built using the Enterprise Ontology (EO) methodology. Our resulting AI-T ontology proposes both conceptual andimplementation models and contains 708 terms and 706 axioms.","AI","University of West Scotland"
"AI Anxiety","https://research-portal.uws.ac.uk/en/publications/ai-anxiety","Johnson, D.; Verdicchio, M.","1 Sept 2017","Recently a number of well-known public figures have expressed concern about the future development of artificial intelligence (AI), by noting that AI could get out of control and affect human beings and society in disastrous ways. Many of these cautionary notes are alarmist and unrealistic, and while there has been some pushback on these concerns, the deep flaws in the thinking that leads to them have not been called out. Much of the fear and trepidation is based on misunderstanding and confusion about what AI is and can ever be. In this work we identify 3 factors that contribute to this “AI anxiety”: an exclusive focus on AI programs that leaves humans out of the picture, confusion about autonomy in computational entities and in humans, and an inaccurate conception of technological development. With this analysis we argue that there are good reasons for anxiety about AI but not for the reasons typically given by AI alarmists.","AI","University of West Scotland"
"Reframing AI Discourse","https://research-portal.uws.ac.uk/en/publications/reframing-ai-discourse","Johnson, D.; Verdicchio, M.","Dec 2017","A critically important ethical issue facing the AI research community is how AI research and AI products can be responsibly conceptualised and presented to the public. A good deal of fear and concern about uncontrollable AI is now being displayed in public discourse. Public understanding of AI is being shaped in a way that may ultimately impede AI research. The public discourse as well as discourse among AI researchers leads to at least two problems: a confusion about the notion of ‘autonomy’ that induces people to attribute to machines something comparable to human autonomy, and a ‘sociotechnical blindness’ that hides the essential role played by humans at every stage of the design and deployment of an AI system. Here our purpose is to develop and use a language with the aim to reframe the discourse in AI and shed light on the real issues in the discipline.","AI","University of West Scotland"
"Designing game playing behaviour for AI players","https://research-portal.uws.ac.uk/en/publications/designing-game-playing-behaviour-for-ai-players","Hildmann, H.; Crowe, M.","1 Dec 2011","We discuss an approach to formalise game playing behaviour for human and AI players. The presented outline for an implementation facilitates a high level description to steer the AI in games designed for behavioural experiments.","AI","University of West Scotland"
"Developing intelligent vision software and the future of AI","https://research-portal.uws.ac.uk/en/publications/developing-intelligent-vision-software-and-the-future-of-ai","Olszewska, J. I.","8 Oct 2020","Intelligent Vision Softwares are present everywhere in our Society from street surveillance cameras to airport e-gates, from drones to AUVs, from m-health services to Facebook apps. Behind the scenes, these new softwares, including social media data, cybersecurity systems, or autonomous agents, require Artificial Intelligence (AI) methods in order to process vast amounts of complex data, and especially visual data such as images, videos, etc. in a computationally efficient, ethical, and dependable way. This talk aims to explain the 'why' and 'how' to produce quality, new-generation intelligent vision softwares to be deployed in real-time and in real-world, constrained and unconstrained environments.","AI","University of West Scotland"
"AI for Emerging Verticals: Human-Robot Computing, Sensing and Networking","https://research-portal.uws.ac.uk/en/publications/ai-for-emerging-verticals-human-robot-computing-sensing-and-netwo","Shakir, M. Z. (ed.); Ramzan, N. (ed.)","26 Jan 2020","By specializing in a vertical market, companies can better understand their customers and bring more insight to clients in order to become an integral part of their businesses. This approach requires dedicated tools, which is where artificial intelligence (AI) and machine learning (ML) will play a major role. By adopting AI software and services, businesses can create predictive strategies, enhance their capabilities, better interact with customers, and streamline their business processes.This edited book explores novel concepts and cutting-edge research and developments towards designing these fully automated advanced digital systems. Fostered by technological advances in artificial intelligence and machine learning, such systems potentially have a wide range of applications in robotics, human computing, sensing and networking. The chapters focus on models and theoretical approaches to guarantee automation in large multi-scale implementations of AI and ML systems; protocol designs to ensure AI systems meet key requirements for future services such as latency; and optimisation algorithms to leverage the trusted distributed and efficient complex architectures.","AI","University of West Scotland"
"AI, agency and responsibility: the VW fraud case and beyond","https://research-portal.uws.ac.uk/en/publications/ai-agency-and-responsibility-the-vw-fraud-case-and-beyond","Johnson, D.; Verdicchio, M.","30 Sept 2019","The concept of agency as applied to technological artifacts has become an object of heated debate in the context of AI research because some AI researchers ascribe to programs the type of agency traditionally associated with humans. Confusion about agency is at the root of misconceptions about the possibilities for future AI. We introduce the concept of a triadic agency that includes the causal agency of artifacts and the intentional agency of humans to better describe what happens in AI as it functions in real-world contexts. We use the VW emission fraud case to explain triadic agency since in this case a techno-logical artifact, namely software, was an essential part of the wrongdoing and the software might be said to have agency in the wrongdoing. We then extend the case to include futuristic AI, imagining AI that becomes more and more autonomous.","AI","University of West Scotland"
"How AI may successfully impact society through innovation? A revisitation of systems theory","https://research-portal.uws.ac.uk/en/publications/how-ai-may-successfully-impact-society-through-innovation-a-revis","Simões, G.; Radosavljevic, M.; Johnston, J. B.","31 Aug 2021","This developmental paper presents a theoretical review of systems theory, focused on aspects regarding innovation in society through the lens of cybernetics, second-order cybernetics, autopoiesis and social systems. The research suggests the interdisciplinarity of systems theory could help to develop a better understanding of artificial intelligence and improve its impact in modern societies.","AI","University of West Scotland"
"Structured use of an AI chatbot to support student development of English for Academic Purposes","https://research-portal.uws.ac.uk/en/publications/structured-use-of-an-ai-chatbot-to-support-student-development-of","Mullen, M.","13 Jul 2023","In recent years, and particularly since the launch of ChatGPT in December 2022, the potential impact of Artificial Intelligence Large Language Models (LLMs) such as ChatGPT or Google Bard on students’ academic output has both energised and terrified academic staff worldwide. Questions continue to rage over whether such assistive technology should be banned or embraced, and in the UK at least, the former appears to be the more common reaction, with a third of the elite Russel Group universities prohibiting use of LLMs, with many more considering doing so (Wood, 2023).Despite staff concerns over the threat of LLMs to academic integrity, it seems clear that students are keen to employ the technology, with 53% of students surveyed in the USA admitting to using ChatGPT to help with homework assignments (Westfall, 2023). In the view of this researcher, without a reliable method of detecting AI-supported output, its widespread use is inevitable, and universities should take a proactive approach in harnessing the affordances of LLMs.This presentation will report on a study implemented at a UK university in the Spring semester of 2023, in a module which helps students for whom English is not a first language develop their proficiency in English for Academic Purposes. Over the 12 weeks of the module, as he does every semester, the researcher worked with the students to develop research topics, introduced elements of academic English writing such as citating and referencing, topic sentences, paragraph structure, hedging, and signposting language. This trimester, however, student production of their essay was supported through the use of ChatGPT. As will be described in the presentation, students were instructed in the use of prompts, and upon receiving the output from ChatGPT, whole class discussions and evaluations were held to discuss the merits of the pieces of text, and how they could be further refined by the students themselves, given their own knowledge of the research topics. Overall, a majority of students reported that use of ChatGPT had improved the quality of the essay they had produced and also felt that the experience left them better equipped to produce future academic output without the use of LLMs. Nevertheless, they also sympathised with academic staff concerns of the threat to academic integrity posed by LLMs.The presentation will outline the process implemented during the semester, detail feedback from the students on their experience of using ChatGPT and their perceptions on its impact on their academic writing skills. The presentation will conclude by posing and answering some questions regarding the ethical position of implementing this structured use of chatGPT as an academic writing resource.","AI","University of West Scotland"
"Artificial intelligence (AI)-based identification of appliances in households through NILM","https://research-portal.uws.ac.uk/en/publications/artificial-intelligence-ai-based-identification-of-appliances-in-","Mahmud, ASM. A.","11 Jul 2022","The Smart Grid (SG) technologies greatly enhance the electrical grid by providing more energy security, increasing efficiency, reliability and economically benefitting the supplier which translates to reduce prices to the end customer. This is significant, as most of the current available energy comes from non-renewable sources. Economic development of nations result in increased demand for energy resources and as the world moves forward, the rate at which these resources are being spent is increasing. The SG poses numerous challenges in the fields of communication, engineering and policymaking. An aspect of the SG Technologies like Non-Intrusive Load Monitoring (NILM) enables the collection of valuable information that can be used to increase energy efficiency and gain deep insight on energy statistics. Novel software approaches like Deep Neural Networks, Markov models and Support Vector Machines play an important role for solving the NILM problem. In addition, researchers are delving into other aspects of the implementation such as privacy, price, and resource usage that coming from the paradigms of cloud and edge computing. Expert analysis on all of these topics is essential for the adoption of SG technology. In this paper, the merits of the various AI/ML techniques are expanded upon in a literature review. Then the previous and current state-of-the-art methods in the field of Deep Learning are evaluated and a conclusion is reached on their performance and viability. Furthermore, a case is made about relevant computing paradigms and how they may impact fundamental areas of the technology.","AI","University of West Scotland"
