"Title","Href","Author","Date","Abstract","Keywords","University Name"
"Hybrid market offering in the medical technology sector and the role of network configuration : An exploratory assessment of dynamics in developed and emerging markets","https://aura.abdn.ac.uk//handle/2164/20299","Khan, Huda; Arslan, Ahmad; Haapanen, Lauri; Rodgers, Peter; Tarbac, Shlomo Y.","October 2023","None","Tech","University of Aberdeen"
"How do rapidly internationalizing SMEs learn? Exploring the link between network relationships, learning approaches and post-entry growth of rapidly Internationalizing SMEs from Emerging Markets","https://aura.abdn.ac.uk//handle/2164/16196","Puthusserry, Pushyarag; Khan, Zaheer; Knight, Gary; Miller, Kristel","August 2020","None","Tech","University of Aberdeen"
"Effectuation Network Relationship Vis-A-Vis Causation Network Relationship : A Study from High-Tech SMES in Malaysia","https://aura.abdn.ac.uk//handle/2164/13658","Uthamaputhran, Sathiswaran; Robson, Ian; Pinto, Avanti Nisha; Aziz, Ikhwan","January 2019","None","Tech","University of Aberdeen"
"Study protocol for a randomised controlled trial of CBT vs antipsychotics vs both in 14-18-year-olds : Managing Adolescent first episode Psychosis: a feasibility study (MAPS)","https://aura.abdn.ac.uk//handle/2164/12603","Pyle, Melissa; Broome, Matthew R; Joyce, Emmeline; MacLennan, Graeme; Norrie, John; Freeman, Daniel; Fowler, David; Haddad, Peter M; Shiers, David; Hollis, Chris; Smith, Jo; Liew, Ashley; Byrne, Rory E; French, Paul; Peters, Sarah; Hudson, Jemma; Davies, Linda; Emsley, Richard; Yung, Alison; Birchwood, Max; Longden, Eleanor; Morrison, Anthony P","April 2019","None","Tech","University of Aberdeen"
"Independent Investigation in Marine Spatial Planning : discretionary or necessary?","https://aura.abdn.ac.uk//handle/2164/22479","Ritchie, Heather; Claydon, Jim; McElduff,  Linda; Slater, Anne-Michelle","January 2024","None","Marine","University of Aberdeen"
"Equity Preferences and Abatement Cost Sharing in International Environmental Agreements","https://aura.abdn.ac.uk//handle/2164/22330","Börger, Tobias; Hanley, Nick; Johnston, Robert J; Meginnis, Keila; Ndebele, Tom; Siyal, Ghamz E Ali; de Vries, Frans","January 2024","None","Marine","University of Aberdeen"
"Facies analysis and sequence stratigraphy of shallow-marine, coarse-grained siliciclastic deposits in the southern Utsira High : the Late Jurassic intra-Draupne Formation sandstones in the Johan Sverdrup Field (Norwegian North Sea).","https://aura.abdn.ac.uk//handle/2164/22354","Puig Lopez, Josep Maria; Poyatos-Moré, Miquel; Howell, John","November 2023","None","Marine","University of Aberdeen"
"Evaluating the Performance of a Dual-Frequency Multibeam Echosounder for Small Target Detection","https://aura.abdn.ac.uk//handle/2164/22559","Petzinna, Nicholas; Nikora, Vladimir; Onoufriou, Joe; Williamson, Benjamin J.","November 2023","None","Marine","University of Aberdeen"
"Variable buoyancy anchor deployment analysis for floating wind applications using a Marine Simulator","https://aura.abdn.ac.uk//handle/2164/21312","Martinez, Rodrigo; Arnau, Sergi; Scullion, Callum; Collins, Paddy; Neilson, Richard D.; Kapitaniak, Marcin","January 2023","None","Marine","University of Aberdeen"
"Spatial patterns of within-stock connectivity provide novel insights for fisheries management","https://aura.abdn.ac.uk//handle/2164/21729","Allgayer, Rebekka; Fernandes, Paul G; Travis, Justin; Wright, Peter J.","September 2023","None","Marine","University of Aberdeen"
