"Title","Href","Author","Date","Abstract","Keywords","University Name"
"Hi-tech help for communication difficulties","https://research.birmingham.ac.uk/en/publications/hi-tech-help-for-communication-difficulties","Robertson, C.","1 May 2001","None","Tech","University of Birmingham"
"Partnership Management for hi-tech Start-ups","https://research.birmingham.ac.uk/en/publications/partnership-management-for-hi-tech-start-ups","Zhang, Y.; Shi, Y.","1 Jan 2009","None","Tech","University of Birmingham"
"Quality and price setting of high-tech goods","https://research.birmingham.ac.uk/en/publications/quality-and-price-setting-of-high-tech-goods","Gorodnichenko, Y.; Talavera, O.; Vu, N.","May 2021","This paper investigates the link between product quality and price setting for central processing units (CPUs). Using thousands of price quotes from a popular price-comparison website, we find that market fundamentals, such as the number of sellers, median price, share of convenient prices and level of seller stability, are important factors for explaining price stickiness and price dispersion. We demonstrate that calculations of price inflation require conditioning not only on CPU quality, but also on market fundamentals to ensure that CPU attributes are priced correctly. Failing to do so can result in an understatement of CPU price deflation in the sample period.","Tech","University of Birmingham"
"Here Be Startups: Exploring London's ‘Tech City’ Digital Cluster","https://research.birmingham.ac.uk/en/publications/here-be-startups-exploring-londons-tech-city-digital-cluster","Nathan, M.; Vandore, E.","2014","The digital industries cluster known as Silicon Roundabout has been quietly growing in East London since the 1990s. Rebranded Tech City, it is the focus of huge public and government attention. National and local policy makers wish to accelerate the local area's development: such cluster policies are back in vogue as part of a reawakened interest in industrial policy. Surprisingly little is known about Tech City's firms or the wider ecosystem, however, and cluster programmes have a high failure rate. We perform a detailed mixed-methods analysis, combining rich enterprise-level data with semistructured interviews. We track firm and employment growth from 1997 to 2010 and identify several distinctive features: branching from creative to digital content industries; street-level sorting of firms; the importance of local amenities and a lack of conventional cluster actors such as universities or anchor businesses. We also argue that the existing policy mix embodies a number of tensions, and suggest areas for improvement. ","Tech","University of Birmingham"
"Terraforming Tech City: place branding and spatial imaginaries in inner East London","https://research.birmingham.ac.uk/en/publications/terraforming-tech-city-place-branding-and-spatial-imaginaries-in-","Nathan, M.; Vandore, E.; Voss, G.","1 Feb 2016","This paper performs a mixed-methods analysis of place-branding strategies developed in the ‘Tech City’ cluster initiative in Inner East London, drawing on ethnographic material, semi-structured interviews and visual content. Using Jessop’s concept of the spatial imaginary, we explore key foundational geographies, trace the emergence of the ‘Silicon Roundabout’ and Tech City concepts between 2008 and 2014, then discuss Tech City’s governance and progress, highlighting both day-to-day challenges and more basic tensions. We contrast this experience with that of ‘Here East’, a new regeneration space across the city in the Olympic Park.","Tech","University of Birmingham"
"Human germline genome editing and its tech-sumptions","https://research.birmingham.ac.uk/en/publications/human-germline-genome-editing-and-its-tech-sumptions","Kaur, A.","31 Mar 2021","This chapter explores whether understanding the human genome will create possibilities for “redesigning” humans, and, if so, how plausible these possibilities are. It discusses changes that could be made to the human genome via egg, sperm, or embryo cells. The chapter focuses on the prevention of disease and enhancing biological characteristics in humans. It unravels the assumptions surrounding the hGGE technology—its tech-sumptions, and examines the plausibility of them being realized in future reproductive practices. The chapter draws upon findings from a 3-phase design of primary research, conducted between March 2018 and October 2019. It details several prominent made about the applications of hGGE technologies in order to clarify their validity, using evidence from published literature.","Tech","University of Birmingham"
"Growing Pains in Electronica: Developing a Small high-tech Company Internationally","https://research.birmingham.ac.uk/en/publications/growing-pains-in-electronica-developing-a-small-high-tech-company","Ghauri, P.","1999","None","Tech","University of Birmingham"
"Returnee CEO and innovation in Chinese high-tech SMEs","https://research.birmingham.ac.uk/en/publications/returnee-ceo-and-innovation-in-chinese-high-tech-smes","Lin, D.; Lu, J.; Liu, X.; Choi, S.","20 May 2014","Using survey data for a sample of high-tech small and medium-sized enterprises (SMEs) in the Zhongguancun Science Park in Beijing, we examine the impact of returnee CEOs on the innovation performance of SMEs. Based on both quantitative and qualitative analyses, we find that firms with returnee CEOs are not more innovative than firms without returnee CEOs. However, returnee CEOs do have a positive impact on firms' innovation performance when they work in publicly owned firms, when they have ties with government agencies, and when their tenure as CEOs is relatively long. The findings have important implications for governments in developing countries that aim to increase their countries' innovation capability through attracting returnees and also for returnee managers who want to contribute to the innovation performance of their firms. Copyright © 2014 Inderscience Enterprises Ltd.","Tech","University of Birmingham"
"Spatial Imaginaries and Tech Cities: Place-branding East London's digital economy","https://research.birmingham.ac.uk/en/publications/spatial-imaginaries-and-tech-cities-place-branding-east-londons-d","Nathan, M.; Vandore, E.; Voss, G.","1 Mar 2019","We explore place branding as an economic development strategy for technology clusters, using London's 'Tech City' initiative as a case study. We site place branding in a larger family of policies that develop spatial imaginaries and specify affordances and constraints on place brands and brand-led strategies. Using mixed methods over a long timeframe, we analyse Tech City's emergence and the overlapping, competing narratives that preceded and succeeded it, highlighting day-to-day challenges and more basic tensions. While a strong brand has developed, we cast doubt on claims that policy has had a catalytic effect, at least in the ways originally intended.","Tech","University of Birmingham"
"Framework of the Organization of Small Firms: Fast-growth, High-tech SMEs","https://research.birmingham.ac.uk/en/publications/framework-of-the-organization-of-small-firms-fast-growth-high-tec","Edwards, P.; Gilman, M.","1 Jan 2008","None","Tech","University of Birmingham"
