"Title","Href","Author","Date","Abstract","Keywords","University Name"
"Influence of blockchain technology in SME internationalization: Evidence from high-tech SMEs in India ","https://ore.exeter.ac.uk//repository/handle/10871/129062","Rakshit, S; Islam, N; Mondal, S; et al.","March 2022","This study examines the impact of blockchain technology (BCT) on small and medium-sized enterprises’ (SMEs) internationalization. Further, it examines how Amazon as a platform reframes the global partnership environment via the BCT network that enables Indian SMEs to operate globally. Data were collected from 291 employees at 43 high-tech SMEs in India. They revealed untapped interest in how Indian SMEs will use Amazon for global operations. Several factors, such as processes to strategize, synergize, and standardize, are described as needing to be addressed before SMEs can boost integrated business efficiency, especially with regards to marketing capacity, scale, scope, and financial performance. The study represents a critical theoretical contribution to Amazon-based global operations by developing the 3S Triangle Model, which could provide a basis for future business practice. Furthermore, the study defines and addresses the evolution of BCT that Amazon has used—and continues to use—as a global operations platform. At the convergence of BCT, Amazon, and global retail activities, we propose and advance an integrated model of BCT-driven global operations among SMEs that provides a holistic view of state-of-the-art practices and exciting avenues for future study.","Tech","University of Exeter"
"Venture capital, credit, and FinTech start-up formation: A cross-country study ","https://ore.exeter.ac.uk//repository/handle/10871/123428","Kolokas, D; Vanacker, T; Veredas, D; et al.","November 2020","Growing FinTech entrepreneurship is a recent global phenomenon. Drawing on the national innovation systems framework, we examine how countries’ venture capital (VC) and credit markets differently affect FinTech entrepreneurship across countries. We argue that with their established and globally diffused norms and practices, VC investors—but not banks—require a critical mass of FinTech entrepreneurship in a country to more positively influence FinTech entrepreneurship. Moreover, we argue that VC and credit markets are substitutes, especially in countries with more FinTech entrepreneurship. Using quantile regressions on data from 53 countries, we find support for our hypotheses.","Tech","University of Exeter"
"Agriculture 4.0: Making it work for people, production, and the planet ","https://ore.exeter.ac.uk//repository/handle/10871/124988","Rose, DC; Wheeler, R; Winter, M; et al.","July 2020","Three tenets of sustainable intensification should guide the fourth agricultural revolution: people, production, and the planet. Thus far, narratives of agriculture 4.0 have been predominately framed in terms of benefits to productivity and the environment with little attention placed on social sustainability. This is despite the fact that agriculture 4.0 has significant social implications, both potentially positive and negative. Our viewpoint highlights the need to incorporate social sustainability (or simply ‘people’) into technological trajectories and we outline a framework of multi-actor co-innovation to guide responsible socio-technical transitions. Through the greater inclusion of people in agricultural innovation systems guided by responsible innovation principles, we can increase the likelihood of this technology revolution achieving social sustainability alongside benefiting production and the environment.","Tech","University of Exeter"
"Distributed ledger technologies (blockchain) in capital markets: risk and governance ","https://ore.exeter.ac.uk//repository/handle/10871/33301","Lee, J","May 2018","Distributed ledger technologies (DLTs) have the potential to revolutionise securities trading and the capital market through removing reconciliation and other costs that are no longer needed with the trust and transparency that DLT brings. DLTs have been used to create virtual currencies (crypto-currencies), such as Bitcoin and Ether, and to create an alternative financial services system. DLTs are an innovation that can facilitate peer-to-peer trading, bringing about the democratisation of financial services markets. This promise is based on the assumption that the functionality of DLTs will result in two changes: decentralisation and disintermediation. To this end, the author investigates how DLT can be applied to the entire life cycle of securities trading – listing (issuing), trading, clearing, and settlement – currently operated by financial market infrastructure (FMI) providers. This paper attempts to answer the following questions: will DLT bring about the benefits it promises? Will decentralisation increase market risks? Will disintermediation create more obstacles to securities trading? In particular, this paper will assess securities trading on DLT networks against systemic risk, market conduct risk, and operational risk to the capital market and consider the appropriate regulations to enhance market integrity, operational safety and investor protection.","Tech","University of Exeter"
"Sorption and fractionation of rare earth element ions onto nanoscale zerovalent iron particles ","https://ore.exeter.ac.uk//repository/handle/10871/32466","Crane, RA; Sapsford, DJ","March 2018","The removal behaviour of rare earth element (REE), (Sc, Y, La-Lu), ions onto nanoscale zerovalent iron (nZVI) particles has been investigated. Batch sorption isotherms were conducted using REE-bearing acid mine drainage (AMD) and a range of different synthetic REE solutions, which were exposed to nZVI at 0.1–4.0 g/L. Maximum adsorption capacity of Yb and La was 410 and 61 mg/g respectively (1000 mg/L LaCl 3 and YbCl 3 starting concentration, initial pH = 4.5, T = 294 K), the highest currently reported in the literature. Aqueous REE removal to ultratrace concentrations ( < 1 µg/L, > 99.9% removal) was also recorded after 30 min (the first sampling interval) exposure of ≥0.5 g/L nZVI to 10 mg/L aqueous REE solutions (nitrate counterion). Similar rapidity and near-total removal ability was recorded for the exposure of nZVI to the AMD, however, a greater nZVI concentration was required, with the removal of all REEs (with the exception of La, Ce, Nd and Gd) to < 1 µg/L when exposed to nZVI at 4.0 g/L for 30 min. In all systems nZVI was selective for the removal of HREE ions in preference to LREE ions, with the mechanism determined using HRTEM-EDS and XPS analysis as via surface mediated precipitation. Overall the results demonstrate nZVI as exhibiting great promise as an effective and versatile agent for simultaneous REE ion recovery and fractionation.","Tech","University of Exeter"
"Patent Information Retrieval: Approaching a Method and Analyzing Nanotechnology Patent Collaborations ","https://ore.exeter.ac.uk//repository/handle/10871/26716","Ozcan, S; Islam, N","March 2017","Many challenges still remain in the processing of explicit technological knowledge documents such as patents. Given the limitations and drawbacks of the existing approaches, this research sets out to develop an improved method for searching patent databases and extracting patent information to increase the efficiency and reliability of nanotechnology patent information retrieval process and to empirically analyse patent collaboration. A tech-mining method was applied and the subsequent analysis was performed using Thomson data analyser software. The findings show that nations such as Korea and Japan are highly collaborative in sharing technological knowledge across academic and corporate organisations within their national boundaries, and China presents, in some cases, a great illustration of effective patent collaboration and co-inventorship. This study also analyses key patent strengths by country, organisation and technology.","Tech","University of Exeter"
"Institutional transition and the financing of high tech SMEs in China: a longitudinal perspective ","https://ore.exeter.ac.uk//repository/handle/10871/9702","Xiao, Li; North, David","June 2011","This paper examines changes in Chinese high-tech SMEs' access to both bank and informal finance in response to the institutional changes relating to the private sector and financial transactions.Using a theoretical framework based on institutional theory, the paper distinguishes between changes at different institutional levels and between formal and informal institutional arrangements as they relate to the availability of business finance during the period covered by China's economic reforms. The empirical evidence provides a longitudinal perspective by drawing upon the findings from two rounds of face to face interviews with the owners of high-tech SMEs and finance providers in the Chinese provinces of Guangdong and Guangxi covering two sequential time periods: from the early 1990s to 2004 and then from 2004 to 2009. The findings show that the responses of high-tech SMEs and informal investors to the institutional changes have been more positive compared with those of banks. Consequently, access to informal sources of finance has grown, including to longer term equity finance, whereas that to bank finance has not significantly improved. The paper demonstrates that the effects of the overall institutional framework on the optimal selection of formal and informal arrangements to secure funding differ between types of finance provider and are not necessarily positively associated with the phases of the institutional transitions.","Tech","University of Exeter"
"Thalassophilia and marine identity: Drivers of ‘thick’ marine citizenship ","https://ore.exeter.ac.uk//repository/handle/10871/135096","Buchan, PM; Evans, LS; Barr, S; et al.","January 2024","Changing humanity's relationship with the ocean is identified as one of ten key challenges in the UN Decade of Ocean Science for Sustainable Development (2021–2030). Marine citizenship is one potential policy approach for reducing anthropogenic harms to the ocean and promoting ocean recovery, and there is a need to better understand marine citizenship motivating factors and their interactions. To contribute to a more holistic understanding, we approached this problem using an interdisciplinary, mixed methodology, which prioritised the voices and experiences of active marine citizens. An online survey and semi-structured interviews were conducted to examine factors spanning environmental psychology (values, environmental identity) and human geography (place attachment and dependency). Our data uncovered a unique marine place attachment, or thalassophilia, which is a novel conceptualisation of the human capacity to bond with a type of place beyond human settlements or defined localities. It is the product of strong emotional responses to the sensorial experience of the ocean and shared social or cultural understanding of ocean place identifications. A key driver of deeper marine citizenship is marine place dependency, and it is positively influence by stimulation and non-conformity values, environmental identity, and thalassophilia. We map significant motivating factors to identity process theory and describe a novel marine identity concept. We propose this as an operational mechanism of marine citizenship action, potentially filling the value- and knowledge-action gaps in the context of marine environmental action. This research provides a cornerstone in marine citizenship research by analysing together in one study a multitude of variables, which cross human-ocean relationships and experiences. The identification and characterisation of thalassophilia and marine identity process theory will enable research and practice to move forwards with a clearer framework of the role of the ocean as a place in environmental action.","Marine","University of Exeter"
"Dancing with the devil? Emmanuel Macron, Marine Le Pen and the articulation of a new political divide in France ","https://ore.exeter.ac.uk//repository/handle/10871/135197","Herman, LE; Lorimer, M","January 2024","This paper investigates how political challengers articulate new political divides in European political party systems and with what implications for representative democracy. Focusing on the case of France and the discourse and practices of Emmanuel Macron and Marine Le Pen, the paper identifies three strategies these actors have used to articulate a new political division beyond Left and Right: the discursive rejection of traditional Left/Right politics, the combination of elements from across the Left/Right divide and the identification of each other as opposite sides on a new cleavage. Our analysis also suggests that rather than addressing the democratic pathologies associated with the traditional Left/Right party system, this new divide has largely contributed to deepen them. Specifically, the new dichotomy carries risks in terms of representative deficits, electoral demobilisation and the further legitimation of illiberal politics.","Marine","University of Exeter"
"Quantifying and understanding dimethylsulfide variability and its influence on the climate system ","https://ore.exeter.ac.uk//repository/handle/10871/135075","Manville, G","January 2024","The significance of the role dimethylsulfide (DMS) plays in regulating the Earth’s climate has been the subject of extensive study. In recent years, advancements in measurements, analytical techniques, and Earth system modelling have led to the rapid expansion of DMS research studies from which an increasingly nuanced understanding of DMS within the climate has evolved. This thesis contributes to the community research effort on all three fronts and provides new insights from which recommendations for future work are made.  I present new measurements of DMS concentrations from the southeast Atlantic sector of the Southern Ocean marginal ice zone during springtime. The relationship between observations of extremely high DMS concentrations in sea ice (>400 nM) and elevated concentrations in seawater (~40 nM) can be explained by a physical dilution and mixing mechanism. Observed DMS concentrations and estimated fluxes are presented, and their importance is discussed in the context of previous regional observations and large-scale climatological estimates.  An objective global analysis of DMS mesoscale and submesoscale spatial variability is presented. DMS is found to vary on the order of tens of kilometres in all ocean basins, and at different times of the year. DMS variability length scales are uncorrelated with DMS concentrations which enables this analysis to help identify mechanisms underpinning DMS variability. Almost 80 % of DMS variability can be explained using the variability of sea surface height anomalies, density, and chlorophyll-a. These results imply that existing large-scale parameterisations are using appropriate parameters but that regional contrasts in DMS variability point to unresolved drivers.  The sensitivity of aerosol–cloud interactions to the distribution and variability of seawater DMS concentration is tested in UKESM1.1. I test the three latest independent climatological DMS estimates, a previous benchmark climatology, a climatology derived from the model’s native DMS scheme, and a control experiment without marine DMS. The latest observationally driven estimates of DMS concentration produce a similar impact in driving the seasonal cycle of Southern Ocean cloud droplet number concentration. The large negative offset in cloud droplet number relative to satellite data indicates that non-DMS emissions and atmospheric processes remain elusive in the model. The regional contrasts in DMS concentration between different estimates lead to a 12 % (0.11 W m¯²) uncertainty in aerosol effective radiative forcing.","Marine","University of Exeter"
