"Title","Href","Author","Date","Abstract","Keywords","University Name"
"Highways, law and governance: Parish of Halifax, c.1550-1700","https://www.research.lancs.ac.uk/portal/en/publications/highways-law-and-governance(2e7e2afc-f57d-4a5f-8358-64c3dd2a0a36).html","Seccombe, M.","2025","Transport historians have made an increasingly strong case for connectivity and mobility in Stuart England even before the introduction of turnpike trusts in the eighteenth century. There has, however, been little explanation of how this was achieved at local level, nor has the broader historiography of government in this period given infrastructure the attention it merits, since the painstaking, but dated, research, of the Webbs. This study explores the diversity of approaches to the administration of highway infrastructure by the townships of Halifax parish in addressing a range of travel and transport needs on foot and horseback in an upland area largely inaccessible to wheeled vehicles. The research is concerned with how townships managed their highways, who the officeholders were, how they negotiated relationships with other agents and institutions, and the implications of a reconceptualisation of the highways function for current debates on state formation. Exploiting excellent manorial and township records, the analysis takes advantage of GIS mapping techniques to re-evaluate the governance of highways, as townships in the parish responded to statutory, political and socio-economic change. A review of the legal framework shows how the Tudor co-option of manorial courts for monitoring statutory compliance resulted in a hybrid system of tenurial liability and communal obligation. Broad-based participation was subject to increasing middling-sort assertiveness, and records from Sowerby township testify to precocious funding of maintenance from the constables’ rates, supervised by a powerful vestry. Economic activities, such as pastoral agriculture, textile manufacturing, mining and quarrying, and the service sector were significant drivers of road management priorities. The research argues that manorial and township institutions deserve more recognition for creative and effective solutions to problems of access and connectivity through presentment routines. Success in managing highways in the parish depended on the participation of better-off landholders both as officeholders and in discharging individual and collective obligations for maintenance and cleansing. The institutions of manor and vestry provided legitimacy to the governance of the highways function, and thereby contributed to the resilience of the seventeenth-century state.","Tech","University of Lancaster"
"Measurements and Modeling of the Interhemispheric Differences of Atmospheric Chlorinated Very Short-Lived Substances","https://www.research.lancs.ac.uk/portal/en/publications/measurements-and-modeling-of-the-interhemispheric-differences-of-atmospheric-chlorinated-very-shortlived-substances(fa7fe73b-0077-43ea-89c0-270a2fa6c691).html","Hossaini, R.","28/01/2024","Chlorinated very short-lived substances (Cl-VSLS) are ubiquitous in the troposphere and can contribute to the stratospheric chlorine budget. In this study, we present measurements of atmospheric dichloromethane (CH2Cl2), tetrachloroethene (C2Cl4), chloroform (CHCl3), and 1,2-dichloroethane (1,2-DCA) obtained during the National Aeronautics and Space Administration (NASA) Atmospheric Tomography (ATom) global-scale aircraft mission (2016?2018), and use the Community Earth System Model (CESM) updated with recent chlorine chemistry to further investigate their global tropospheric distribution. The measured global average Cl-VSLS mixing ratios, from 0.2 to 13 km altitude, were 46.6 ppt (CH2Cl2), 9.6 ppt (CHCl3), 7.8 ppt (1,2-DCA), and 0.84 ppt (C2Cl4) measured by the NSF NCAR Trace Organic Analyzer (TOGA) during ATom. Both measurements and model show distinct hemispheric gradients with the mean measured Northern to Southern Hemisphere (NH/SH) ratio of 2 or greater for all four Cl-VSLS. In addition, the TOGA profiles over the NH mid-latitudes showed general enhancements in the Pacific basin compared to the Atlantic basin, with up to ?18 ppt difference for CH2Cl2 in the mid troposphere. We tagged regional source emissions of CH2Cl2 and C2Cl4 in the model and found that Asian emissions dominate the global distributions of these species both at the surface (950 hPa) and at high altitudes (150 hPa). Overall, our results confirm relatively high mixing ratios of Cl-VSLS in the UTLS region and show that the CESM model does a reasonable job of simulating their global abundance but we also note the uncertainties with Cl-VSLS emissions and active chlorine sources in the model. These findings will be used to validate future emission inventories and to investigate the fast convective transport of Cl-VSLS to the UTLS region and their impact on stratospheric ozone.","Tech","University of Lancaster"
"The influence of H2O or/and O2 introduction during the low-temperature gas-phase sulfation of organic COS + CS2 on the conversion and deposition of sulfur-containing species in the sulfated CeO2-OS catalyst for NH3-SCR","https://www.research.lancs.ac.uk/portal/en/publications/the-influence-of-h2o-orand-o2introduction-during-the-lowtemperature-gasphase-sulfation-of-organic-cos--cs2on-the-conversion-and-deposition-of-sulfurcontaining-species-in-the-sulfated-ceo2os-catalyst-for-nh3scr(6c561490-d58d-439b-afda-d407498c7f69).html","Du, Y.","24/01/2024","Herein, the typical components of blast furnace gas, including H O and O , were introduced to improve the NH -SCR activity of the sulfated CeO -OS catalyst during the gas-phase sulfation of organic COS + CS at 50 °C. The characterization results demonstrate that the introduction of O or H O during gas-phase sulfation enhances the conversion of organic COS + CS on a cubic fluorite CeO surface and reduces the formation of sulfur and sulfates in the catalyst, but decreases the BET surface area and pore volume of the sulfated CeO -OS catalyst. However, the introduction of O or H O during the gas-phase sulfation increases the molar ratios of Ce /(Ce + Ce ) and O /(O + O + O ) on the sulfated CeO -OS catalyst surface, thus promoting the formation of surface oxygen vacancies and chemisorbed oxygen, and these properties of the catalyst are further enhanced by the co-existence of O and H O. Furthermore, the reduction of sulfates formed under the action of O or H O decreases the weak acid sites of the sulfated CeO -OS catalyst, but the few and highly dispersive sulfates present stronger reducibility, and the proportion of medium-strong acid sites of the catalyst increases. These factors help to improve the NH -SCR activity of the sulfated CeO -OS catalyst. Thus, there exists a synergistic effect of H O and O introduction during gas-phase sulfation on the physical-chemical properties and catalytic performance of the sulfated CeO -OS catalyst by organic COS + CS at 50 °C.","Tech","University of Lancaster"
"Low-Energy Ion Implantation and Deep-Mesa Si-Avalanche Photodiodes with Improved Fabrication Process","https://www.research.lancs.ac.uk/portal/en/publications/lowenergy-ion-implantation-and-deepmesa-siavalanche-photodiodes-with-improved-fabrication-process(8c49bd9c-6478-434f-9b90-9499cc52bdcc).html","Zhuang, Q.","19/01/2024","Since the avalanche phenomenon was first found in bulk materials, avalanche photodiodes (APDs) have been exclusively investigated. Among the many devices that have been developed, silicon APDs stand out because of their low cost, performance stability, and compatibility with CMOS. However, the increasing industrial needs pose challenges for the fabrication cycle time and fabrication cost. In this work, we proposed an improved fabrication process for ultra-deep mesa-structured silicon APDs for photodetection in the visible and near-infrared wavelengths with improved performance and reduced costs. The improved process reduced the complexity through significantly reduced photolithography steps, e.g., half of the steps of the existing process. Additionally, single ion implantation was performed under low energy (lower than 30 keV) to further reduce the fabrication costs. Based on the improved ultra-concise process, a deep-mesa silicon APD with a 140 V breakdown voltage was obtained. The device exhibited a low capacitance of 500 fF, the measured rise time was 2.7 ns, and the reverse bias voltage was 55 V. Moreover, a high responsivity of 103 A/W@870 nm at 120 V was achieved, as well as a low dark current of 1 nA at punch-through voltage and a maximum gain exceeding 1000.","Tech","University of Lancaster"
"Methods for studying the cell cycle in African Trypanosomes","https://www.research.lancs.ac.uk/portal/en/publications/methods-for-studying-the-cell-cycle-in-african-trypanosomes(c2dd1876-55f2-4edd-8ef6-5caea4c60b24).html","None","18/01/2024","African trypanosomes are a genus of unicellular parasitic organisms that cause both human and animal African trypanosomiasis. While HAT, caused by Trypanosoma brucei rhodesiense or gambiense, has shown record low cases in recent years, the elimination of AAT remains difficult due to many complicating factors. One of these factors is the comparatively poor understanding of the main causative agent of AAT, Trypanosoma congolense. Both T. brucei and T. congolense possess a single flagellum that originates from inside the cell and exits through a membrane invagination called the flagellar pocket. The flagellar pocket and its associated structures are not only critical for parasite survival and virulence but also for coordinating the cell cycle. Improving our understanding of cell cycle regulation in these species could lead to novel drug targets, which could be aided by utilisation of a suitable synchronisation method. This project aims to optimise protocols for both the synchronisation and enrichment of flagellar pocket associated cytoskeletal structures (F-PACS) in African trypanosomes to provide opportunities for greater analysis of the cell cycle. To synchronise T. brucei, centrifugal counter-flow elutriation (CCE) was used to separate cells based on their hydrodynamic volume. Enriched fractions were collected containing >97% of cells in G1 in PCF, and >98% in BSF. Once returned to culture, this population continued to grow in a synchronous fashion. A protocol for enrichment of F-PACS in PCF T. brucei was optimised. Synchronised samples were generated for analysis of changes in phosphosite abundance across the cell cycle. Attempts were made to optimize mechanical and chemical synchronisation techniques for use on T. congolense, achieving a ~76% enrichment in G1 by CCE. This project provides useful optimisations for continued study of the cell cycle in trypanosomes. ","Tech","University of Lancaster"
"Modelling electrified railway signalling misoperations during extreme space weather events in the UK","https://www.research.lancs.ac.uk/portal/en/publications/modelling-electrified-railway-signalling-misoperations-during-extreme-space-weather-events-in-the-uk(01c7f054-c7d3-4de3-ba1e-ad8c09e96a5a).html","Patterson, C. J.; Wild, J. A.","18/01/2024","Space weather has the potential to impact ground-based technologies on Earth, affecting many systems including railway signalling. This study uses a recently developed model to analyse the impact of geomagnetically induced currents on railway signalling systems in the United Kingdom during the March 1989 and October 2003 geomagnetic storms. The March 1989 storm is also scaled to estimate a 1-in-100 year and a 1-in-200 year extreme storm. Both the Glasgow to Edinburgh line, and the Preston to Lancaster section of the West Coast Main Line are modelled. No “right side” failures (when unoccupied sections appear occupied) are suggested to have occurred during either storm, and the total number of potential “wrong side” failures (when occupied sections appear clear) is low. However, the modelling indicates “right side” and “wrong side” failures are possible on both routes during the 1-in-100 year and 1-in-200 year extreme storms, with the Glasgow to Edinburgh line showing more total misoperations than the Preston to Lancaster section of the West Coast Main Line. A 1-in-100 year or 1-in-200 year extreme storm would result in misoperations over an extended period of time, with most occurring over a duration of 2–3 h either side of the peak of the storm.","Tech","University of Lancaster"
"Technostress in University Lecturers: An Exploratory Study Using the Job Demands-Resources Theory","https://www.research.lancs.ac.uk/portal/en/publications/technostress-in-university-lecturers(3075c73b-4f71-4250-ad59-92946ae570a1).html","None","18/01/2024","University lecturers are expected to engage with a range of workplace information and computing technologies (ICTs) to fulfil teaching, learning, assessment, administrative and research responsibilities. This cross-sectional, survey-based, study addresses the need highlighted in recent literature for the investigation of the effects of technostress on university lecturers.  Technostress arises when the individual finds it challenging to manage workplace ICT-related demands, leading to negative effects for both the individual worker and their employer organisation.   Framed within the Job Demands-Resources Theory, the study described here explored ICT-associated technostress as a job demand in higher education workplaces, as experienced by a sample of Irish university lecturers (N=77).  The relationship between technostress creators and lecturer well-being and work performance was explored. The potential moderating effect of technostress inhibitors in mitigating against these potential negative effects of technostress was also examined.Quantitative analysis findings suggest that Irish university lecturers experience the following technostress creators: techno-overload, techno-invasion, techno-complexity and techno-insecurity.  No significant participant age, gender, or education level-related differences in these scores were identified. Hypothesis testing showed that techno-overload and techno-complexity negatively predict work performance, and positively predict work-related burnout, which was also shown to be positively predicted by techno-invasion.   Work-related burnout negatively predicted work performance, but only mediated the relationship between techno-invasion and work performance.  Analysis of the mitigating role of technostress inhibitors delivered mixed results, with some findings suggesting that technostress inhibitors potentially magnify, instead of reducing, the negative effects of technostress creators. These quantitative findings were supported by participant narrative contributions about the use of ICTs in higher education workplaces. These narratives supported the discussion of the quantitative analysis results, while also informing recommendations for academic managers regarding organisational measures that can be adopted to identify, and mitigate against, the negative effects of technostress for both university lecturers and their employer universities. ","Tech","University of Lancaster"
"Theory of quantum transport in nano scale structures.","https://www.research.lancs.ac.uk/portal/en/publications/theory-of-quantum-transport-in-nano-scale-structures(8eb782d5-f7c4-4033-a908-949034ff9983).html","None","16/01/2024","In the pursuit of future nano-scale applications within the field of molecular electronics, extensive investigations into electron transport through single molecules hold significant importance. As single or multiple molecules serve as crucial building blocks for designing and constructing molecular electronic devices, comprehending their electronic and transport properties becomes imperative. Countless theoretical and experimental studies have been conducted to create molecular junctions and explore their electrical performance. This thesis focuses on fundamental aspects of transport theory, employing theoretical and mathematical approaches to investigate electron transport through junctions, particularly involving a scattering region formed by a singlemolecule connected to metal electrodes. The research methods used are based on a combination of density functional theory, implemented within the SIESTA code, and non-equilibrium Green's function, realized using the GOLLUM code, to delve into electrical conductance on a molecular scale.The objective of this chapter is to address a puzzling paradox concerning metaconnectivity, which exhibits destructive quantum interference (DQI) in a tight binding model. However, in certain instances, DQI does not manifest in a DFT calculation on the same system. To shed light on this inconsistency, a selection of molecules is examined, focusing on the distinction between meta and para connectivity. Two different types of linkers, thiol (-SH) and methyl sulphide (-SMe), are employed to couple different molecules to Au electrodes. Through this investigation, we aim to gain insights into the underlying factors that lead to the observed quantum interferencebehaviors.In project two, we conducted a comprehensive study, combining experimental and theoretical approaches, to explore charge transport in stacked graphene-like dimers. Our findings revealed that the interaction between room-temperature quantum interference and stacking significantly influences their highly non-classical electrical conductance. Notably, for the molecule CQI-L, the electrical conductance of the dimer exceeds that of the monomer by a remarkable factor of 25, attributed to the most energetically favorable stacking interactions. Conversely, for the molecule CQI-H, the dimer's conductance is approximately 40 times lower than that of the monomer. These resultsunequivocally demonstrate that precise control of connectivity to molecular cores, coupled with stacking interactions between their systems, provides a versatile avenue for modifying and optimizing charge transfer between molecules. This discovery is expected to inspire further vigorous research at both macroscopic and microscopic levels.","Tech","University of Lancaster"
"Intent-Based Cloud CDNs: Rethinking the Communication Mechanism Between Content Providers and Cloud CDN Operators via Intent-Based Northbound Interface","https://www.research.lancs.ac.uk/portal/en/publications/intentbased-cloud-cdns(1ae3b91c-f27d-41f6-a1a7-aea3b2ca80c8).html","Alalmaei, S.","15/01/2024","Content Delivery Networks (CDNs) are an important solution for easing Internetnetwork traffic congestion and improving response latency. There is a growing trend to deploy Cloud CDNs (CCDNs) to provide more flexibility compared to traditional CDNs. Today, regardless of the current technological advancements, most CCDNs still make their resource and cache management decisions while being unaware of what Content Providers (CPs) want to achieve. For instance, the APIs of prominent CCDNs (such as Amazon CloudFront, Google Cloud CDN, and Microsoft Azure CDN) do not allow CPs to express their high-level targets, e.g., requests/region. Instead, CPs are mainly limited to specifying the desired geographical coverage and the origin content server. Fortunately, there has been an increasing interest in the Intent-Based Networking (IBN) paradigm, which aims to allow users to express what they want to do (in the form of an intent) instead of how to do it. By employing IBN, CCDNs could move towards a communication scheme that is more adaptive, flexible, and portable,that tries to automate meeting the CP’s intent target throughout the pre- and postdeployment phases of a service.In this thesis, we present a solution to enable such Intent-Based CCDN. Weillustrate how microservices modularity could be utilized in the intent translationprocess, decomposing intents into behavioral abstract policies that in turn gettranslated into technical realizations as microservices. This provides a more flexible, cost-effective, interoperable solution, and enables stakeholders to compare and alternate between microservice alternatives depending on the CP’s intent. We propose and implement a Low-Cost Intent (LCI) that targets cost reduction while provisioning a CCDN.We evaluate several realizations of this LCI, namely LCI1, LCI2 and LCI3 via selecting different microservice alternatives (i.e., leading to different overall CCDN deployments) for each. Additionally, we propose and implement different LCI refinement algorithms for performance improvement in various traffic scenarios. We conduct our evaluation experiments on Google Kubernetes Engine (GKE), and test it using traces of real CDN traffic obtained from a major ISP. Evaluating our refined LCI different realizations against a baseline of GKE demonstrated the differences between these varying options. The best was LCI1 which reduced infrastructure cost by up to 10% in return for a 2% rise in dropped requests. On the other hand, although LCI2 also led to cost reduction up to 10%, it caused an increased request drops by almost 20%. Finally LCI3 led to the highest infrastructure cost reduction by up to 20% but in return for the highest rise in dropped requests by 40%. Interestingly, in a traffic bursts scenario, although the refined LCI resulted no cost reduction, it actually outperformed the baseline by reducing the amount of dropped requests by 30%. Accordingly, we discuss the factors that led to these different variations between the different LCI flavors based on their corresponding selected microservice alternatives.","Tech","University of Lancaster"
"Nitrogen-enriched biochar co-compost for the amelioration of degraded tropical soil","https://www.research.lancs.ac.uk/portal/en/publications/nitrogenenriched-biochar-cocompost-for-the-amelioration-of-degraded-tropical-soil(52ceaed7-e1ec-4aa3-bf8f-ab27b2b4cdf5).html","Sarkar, B.","15/01/2024","Tropical soils are often deeply weathered and vulnerable to degradation having low pH and unfavorable Al/Fe levels, which can constrain crop production. This study aims to examine nitrogen-enriched novel biochar co-composts prepared from rice straw, maize stover, and gram residue in various mixing ratios of the biochar and their feedstock materials for the amelioration of acidic tropical soil. Three pristine biochar and six co-composts were prepared, characterized, and evaluated for improving the chemical and biological quality of the soil against a conventional lime treatment. The pH, cation exchange capacity (CEC), calcium carbonate equivalence (CCE) and nitrogen content of co-composts varied between 7.78–8.86, 25.3–30.5 cmol (p               +) kg               −1, 25.5–30.5%, and 0.81–1.05%, respectively. The co-compost prepared from gram residue biochar mixed with maize stover at a 1:7 dry-weight ratio showed the highest rise in soil pH and CEC, giving an identical performance with the lime treatment and significantly better effect (p <.05) than the unamended control. Agglomerates of calcite and dolomite in biochar co-composts, and surface functional groups contributed to pH neutralization and increased CEC of the amended soil. The co-composts also significantly (p <.05) increased the dehydrogenase (1.87 µg TPF g                −1 soil h               −1), β-glucosidase (90 µg PNP g               −1 soil h               −1), and leucine amino peptidase (3.22 µmol MUC g               −1 soil h               −1) enzyme activities in the soil, thereby improving the soil’s biological quality. The results of this study are encouraging for small-scale farmers in tropical developing countries to sustainably reutilize crop residues via biochar-based co-composting technology.","Tech","University of Lancaster"
