"Title","Href","Challenge","Solution","Outcome","Benefits","Institution"
"Eviosys - Tool Change Audit","https://www.the-mtc.org/case-studies/eviosys-tool-change-audit/","The eviosys sites at mansfield and carlisle produce tins of various design for the food industry with relatively short production runs.  Separate lines produce the tin body and lids, current time taken to change, set and verify the lines take around 5 days on average (with 24hr working).  Capacity impact in august 2022; 11 changes across 24 lines resulting in 55 days lost working time due to changeover. Impact – customer delivery frequently compromised, along with overtime costs and pressure on production personnel. ","The project trained eight eviosys personnel to capture and analyse current set up procedures across multiple lines at mansfield and carlisle through use of video capture (gopro).  Training included covering the lean principles of smed (single minute exchange of die), 8 wastes, the use of video to capture and analyse current changeover procedures and the use of swct (standardised work combination tables) to graphically illustrate the time taken for each changeover element.  The activity relied on a team-based approach, with eviosys personnel ‘learning by doing’ through application of lean principles and following a pdca (plan do check act cycle) discipline. ","In total, 8 separate changeover processes across tin lid and tin body lines were observed, recorded, and analysed.  A total of 60 separate waste items were identified by the eviosys teams, and countermeasures were brainstormed.  From these, 51 countermeasures were identified as priority through an ease/impact assessment.  In addition, 23 opportunities for technology adoption to improve the changeover process were identified. ","Application of smed and 8 wastes lean training resulted in the eviosys teams identifying improvements that have the potential to reduce current set up times by up to 44%.  Reviewing opportunities to apply technology identified potential time savings of a further 39%.  Reviewing the impact on the full value stream (warehousing, inventory, use of temporary workers etc. ) the potential for applying the identified improvements is an estimated annual cost saving of £270,000. ","MTC"
"Lifecycle Assessment to Validate Sustainability of Laser Surface Texturing","https://www.the-mtc.org/case-studies/lifecycle-assessment-to-validate-sustainability-of-laser-surface-texturing/","The laser processing team at the mtc have successfully develop a superhydrophobic (water repellent) surface for the dryer’s evaporator unit fins.  It was calculated that this change to the product could reduce the drying cycle time, and therefore reduce the energy consumption by 5%. Whilst on the face of it, this manufacturing process change appears to be more sustainable, assessing the environmental impact over the full life of the product is essential to ensure the new process is truly more sustainable. To provide this assessment, an lca, which covers the products lifecycle cradle to grave, was used.  This means the full breadth of environmental impacts are considered across all phases of the products life. ","Using lca methodology, the mtc validated the proposed solution.  This considered the trade-off between the additional energy needed for the laser process compared to the energy savings over the tumble dryer’s life cycle. It was found that, despite the reduction in energy consumption, the laser process would have a negative environmental impact on the tumble dryer, due to the additional manufacturing step. Whilst the application of lst to each fin was found to be less sustainable, an alternative approach of texturing a forming tool, which could then transpose the texture onto each fin, would achieve a net reduction in environmental impact. ","The mtc successfully generated a water repellent surface on the evaporator unit fins using lst, with water contact angle measurement data to validate and quantify this perceived benefit. The functionality’s durability of the surface (hydrophobicity) was evaluated and passed an industry standard steam test. Using lca, the mtc identified a manufacturing route for a tumble dryer evaporator, that will both improve surface functionality whilst providing a net-reduction in the product’s environmental impact. ","Impartial environmental assessment of the impact of mtc manufacturing capability using lca. A more sustainable manufacturing route, using lst, was modelled in the lca, and showed an improvement across all lca impact categories, using several different life cycle impact assessment (lcia) methods. When comparing the textured die tool to the benchmark scenario, a 36% environmental impact reduction could be achieved, based on the recipe endpoint lcia method, a standardised approach to converting impacts into a single score for comparison purposes. ","MTC"
"Accelerating Concrete Bridge Deck Examinations","https://www.the-mtc.org/case-studies/accelerating-concrete-bridge-deck-examinations/","Bridges represent a critical part of the highways infrastructure and deterioration of these assets is a concern in terms of both public safety and economic burden. Bridge decks are currently examined by closing the section of highway, stripping the asphalt surface layer and conducting manual testing on the exposed underlying concrete, before re-surfacing and re-opening the highway.  This process is slow, manual, costly and can cause significant disruption to road users. There is a strong desire to identify an alternative approach that is fast, quantitative and does not require extensive closures as a result of stripping road surfaces. ","The mtc has demonstrated how ground penetrating radar (gpr) technology can be used to transform the current approach to bridge deck maintenance. A vehicle-mounted gpr array system was used to rapidly scan a bridge asset that was planned to undergo a full conventional intrusive bridge deck examination that would enable validation of the results. By using both commercial software and bespoke analysis, a large variety of insights and visualisations were generated that provided a comprehensive understanding into the bridge structure and indications of potential defects. The mtc has demonstrated how ground penetrating radar (gpr) technology can be used to transform the current approach to bridge deck maintenance. A vehicle-mounted gpr array system was used to rapidly scan a bridge asset that was planned to undergo a full conventional intrusive bridge deck examination that would enable validation of the results. By using both commercial software and bespoke analysis, a large variety of insights and visualisations were generated that provided a comprehensive understanding into the bridge structure and indications of potential defects. ","The inspection solution was able to accurately map sub-surface structural features such as rebar, post-tensioning cable ducts and voiding barrels. The system was also able to identify regions of rebar degradation that correlated well with regions of spalling and delamination subsequently identified by a full, intrusive principle examination of the bridge deck. Insight into the road surfacing was also gained such as mapping surface deterioration (cracking and potholes), surfacing thickness mapping as well as assessing the asphalt-concrete deck interface that could indicate regions of water ingress. The inspection solution was able to accurately map sub-surface structural features such as rebar, post-tensioning cable ducts and voiding barrels. The system was also able to identify regions of rebar degradation that correlated well with regions of spalling and delamination subsequently identified by a full, intrusive principle examination of the bridge deck. Insight into the road surfacing was also gained such as mapping surface deterioration (cracking and potholes), surfacing thickness mapping as well as assessing the asphalt-concrete deck interface that could indicate regions of water ingress. ","The inspection approach demonstrated was completely non-destructive and a short cycle time (<45 minutes for an 80 m bridge) and it was clear that inspection through the asphalt road surfacing had minimal impact on the capabilities of gpr. This means that road surfacing stripping is not required for this technology which removes significant costs and disruption to road users. Importantly, the results obtained will allow for better cost certainty for bridge maintenance activities, allow for targeting of intrusive examinations and obtain a digital mapping of assets for improve data traceability. The inspection approach demonstrated was completely non-destructive and a short cycle time (<45 minutes for an 80 m bridge) and it was clear that inspection through the asphalt road surfacing had minimal impact on the capabilities of gpr. This means that road surfacing stripping is not required for this technology which removes significant costs and disruption to road users. Importantly, the results obtained will allow for better cost certainty for bridge maintenance activities, allow for targeting of intrusive examinations and obtain a digital mapping of assets for improve data traceability. ","MTC"
"The Route Towards Sustainable Manufacturing","https://www.the-mtc.org/case-studies/the-route-towards-sustainable-manufacturing/","Over recent years, harris rcs has been making small changes across the business to minimise its impact on the environment, for example changing over its lighting to leds in 2018.  However, these small initiatives didn't have the measures and baseline in place to show the improvements over time.  The aerospace sme wanted more immediate guidance for change and a more structured approach, so that it could go beyond these minor changes and create real impact to meet its sustainability targets.  Like many companies, the questions were, what does sustainability really mean and how can we start to truly embrace it?","A collaborative project aimed initially to support the calculation of carbon emissions and over time was expanded to focus on:. Sustainability roadmap. Sustainability roadmap. Equipment data monitoring. Equipment data monitoring. Sustainability supply chain readiness assessment (scra). Sustainability supply chain readiness assessment (scra)the project aimed to create an understanding of the carbon emissions generated each year by harris rcs to develop future sustainability projects. ","Having compiled emissions data from pre-covid, the new data capture process will enable the independent tracking and awareness of emissions for future years.  . having compiled emissions data from pre-covid, the new data capture process will enable the independent tracking and awareness of emissions for future years.  . the equipment power usage investigation found that it was more energy efficient to leave the compressor unit on over weekends.  . the equipment power usage investigation found that it was more energy efficient to leave the compressor unit on over weekends.  . the sustainability assessment triggered another project, which will investigate all of the machinery in the facility. The sustainability assessment triggered another project, which will investigate all of the machinery in the facility. The assessment also identified improvements that could be made to increase recycling activities. The assessment also identified improvements that could be made to increase recycling activities. ","The project allowed harris rcs to understand the business's historic emissions and identify possible target areas moving forwards.  . the project allowed harris rcs to understand the business's historic emissions and identify possible target areas moving forwards.  . a plan for future activities was set out in a five-year roadmap and in feedback from the sustainability supply chain readiness assessment.  . a plan for future activities was set out in a five-year roadmap and in feedback from the sustainability supply chain readiness assessment.  . data is now available to calculate the potential impact of adding a second shift, should future demand increase sufficiently.  . data is now available to calculate the potential impact of adding a second shift, should future demand increase sufficiently. ","MTC"
"Productivity Improvement: Verification and Validation","https://www.the-mtc.org/case-studies/productivity-improvement-verification-and-validation/","Applied nutrition ltd.  In knowsley are manufacturers of sports nutrition and supplements products, with a blending, filling, packing and warehouse operation.  The business has seen exponential growth in sales, and this has led to increased requirements for expanding operations in their current state.  There is an opportunity to expand site manufacturing and warehouse space by taking over a neighbouring unit.  The company is looking to invest in a new type of blending system, as well as an automatic filling line following their own analysis of user requirements. ","Following a line walk and subsequent discussion, mtc identified the need for analyses of current and future production data, run rates, blending times and fill line timings in more detail.  This will help sanitize the original site operations' user requirements to refine the matcon system requirements.  Blending machinery requirements' suitability can be determined for both current and future state requirements, to improve speed of commissioning and avoiding any costly changes to spec requirements at a later date. ","Analysis proved that the decoupling of the blender from the filling line allowed for greater utilisation of the production equipment. Analysis proved that the decoupling of the blender from the filling line allowed for greater utilisation of the production equipment. Initial blending system proved to not be suitable for this particular application, as well as having a payback period of almost five years. Initial blending system proved to not be suitable for this particular application, as well as having a payback period of almost five years. An intermediary hopper/container between these two stages of production would allow, for any given line, blending and filling to happen simultaneously on separate batches; greatly increasing utilisation. An intermediary hopper/container between these two stages of production would allow, for any given line, blending and filling to happen simultaneously on separate batches; greatly increasing utilisation. Methods of conveying powder were researched, with vacuum transfer deemed the most effective. Methods of conveying powder were researched, with vacuum transfer deemed the most effective. ","Appraisal of future auto-filling line. Appraisal of future auto-filling line. Strategy to achieve alignment of powder operations - blending, transfer, intermediary holding, filling - to maximise equipment utilisation. Strategy to achieve alignment of powder operations - blending, transfer, intermediary holding, filling - to maximise equipment utilisation. Payback period options for liquid filling line. Payback period options for liquid filling line. Vacuum powder transfer system proposed. Vacuum powder transfer system proposed. Proposed changes projected to show an increase of over 100% in revenue per line per hour. Proposed changes projected to show an increase of over 100% in revenue per line per hour. ","MTC"
"Transformative Business Support: Improving Operational Efficiencies","https://www.the-mtc.org/case-studies/transformative-business-support-improving-operational-efficiencies/","Ktwo's primary challenges were around the day-to-day running of the business, including:. Improving monthly cash flow. Improving monthly cash flow. Reducing late deliveries. Reducing late deliveries. Improving team communication. Improving team communicationsolutions needed to address operational deficiencies, including materials management, production planning, leadership culture and health and safety action support. ","The mtc undertook a full strategic operational review to understand critical processes, key handover requirements, team communication and process times.  This resulted in:. Implementation of a governance structure over the management of health and safety actions. Implementation of a governance structure over the management of health and safety actions. Weekly management meetings focused on the safety, quality, cost and delivery elements of operations (socd).  . weekly management meetings focused on the safety, quality, cost and delivery elements of operations (socd).  . business structure and leadership team evaluation reviews on capability, development requirements and restructure support . Business structure and leadership team evaluation reviews on capability, development requirements and restructure support . Facilitation of real-time improvement workshops, driving a continuous improvement culture across the business . Facilitation of real-time improvement workshops, driving a continuous improvement culture across the business . The senior team now able to lead by example, supported with a hands-on approach to leadership and coaching to engage and motivate the wider team. The senior team now able to lead by example, supported with a hands-on approach to leadership and coaching to engage and motivate the wider team","External health and safety audits were successfully completed, with a structured leadership governance process in place to continue with compliance . External health and safety audits were successfully completed, with a structured leadership governance process in place to continue with compliance . New business structure in place with key leadership positions filled to enable departmental sustainability and development . New business structure in place with key leadership positions filled to enable departmental sustainability and development . Material stock management processes implemented with stock locations introduced into sap, allowing system development to create a usable business system . Material stock management processes implemented with stock locations introduced into sap, allowing system development to create a usable business system . Introduction of a material control process to communicate and set realistic expectations for external customers and the operations teams . Introduction of a material control process to communicate and set realistic expectations for external customers and the operations teams . Live production process dashboards implemented that are reviewed daily to monitor and continue to drive the business forward . Live production process dashboards implemented that are reviewed daily to monitor and continue to drive the business forward . An aligned, business leadership team, leading a culture of improvement, support, performance and a one-team ethic . An aligned, business leadership team, leading a culture of improvement, support, performance and a one-team ethic","15% increase in turnover [comparing jan-nov 21 to 2022. 15% increase in turnover [comparing jan-nov 21 to 2022. 2022 was the business's highest revenue year to date, with an increase of £1. 3m in turnover from 2021, to £11 million . 2022 was the business's highest revenue year to date, with an increase of £1. 3m in turnover from 2021, to £11 million . 12% decrease in purchase spend comparing jan-nov 21 to 2022, due to stock control and measures introduced into purchasing . 12% decrease in purchase spend comparing jan-nov 21 to 2022, due to stock control and measures introduced into purchasing . 85% increase in on time in full [otif). 85% increase in on time in full [otif). External health and safety audit was passed for the first time with no immediate actions. External health and safety audit was passed for the first time with no immediate actions. New leadership team developed with clear alignment. New leadership team developed with clear alignment. Business culture change with team members engaged, supported and aligned with a ·can-do' approach . Business culture change with team members engaged, supported and aligned with a ·can-do' approach","MTC"
"Sustainability Linewalk with Lestercast","https://www.the-mtc.org/case-studies/sustainability-linewalk-with-lestercast/","None","None","None","None","MTC"
"Improving Safety by Verifying the Integrity of Safety-Critical Railway Components","https://www.the-mtc.org/case-studies/improving-safety-by-verifying-the-integrity-of-safety-critical-railway-components/","Rail fastener housings are vital within railway lines as they ensure the rail is strongly secured in place along a route.  Following the rail accident investigation branch (raib) investigation into the eastleigh derailment, it was found that the cause of the incident was several rt60 fastener housings which had fractured and then failed. Prior to this investigation, no inspection techniques had been developed for these types of fasteners, and one of the key recommendations of the raib report was that this gap in capability was addressed by network rail. A fast, inexpensive and effective in-situ inspection process for detecting internal fractures within rt60 fastener housings was therefore urgently required to both satisfy regulatory requirements and improve safety. ","None","An ultrasonic inspection technique, utilising a custom 3d printed probe holder, was developed by the mtc and to detect fracture defects within rt60 fastener housing components. Inspection performance established in laboratory testing was validated via multiple on-site trials on live network rail assets. The ultrasonic inspection process is fast and does not require further specialist training for network rail’s non-destructive testing engineers. An ultrasonic inspection technique, utilising a custom 3d printed probe holder, was developed by the mtc and to detect fracture defects within rt60 fastener housing components. Inspection performance established in laboratory testing was validated via multiple on-site trials on live network rail assets. The ultrasonic inspection process is fast and does not require further specialist training for network rail’s non-destructive testing engineers. ","This inspection process allows for rt60 fastener housing components to be tested for fracture defects effectively for the first time. The inspection process has been adopted by network rail and will be rolled out within their business, allowing for the structural integrity of these components to be assessed. This improves rail structural integrity validation therefore improving safety, reducing the risk of future derailments and allowing network rail to satisfy a key raib regulatory recommendation. This inspection process allows for rt60 fastener housing components to be tested for fracture defects effectively for the first time. The inspection process has been adopted by network rail and will be rolled out within their business, allowing for the structural integrity of these components to be assessed. This improves rail structural integrity validation therefore improving safety, reducing the risk of future derailments and allowing network rail to satisfy a key raib regulatory recommendation. ","MTC"
"Process rig for Production of Innovative Heart Treatment Devices","https://www.the-mtc.org/case-studies/process-rig-for-production-of-innovative-heart-treatment-devices/","The ustan team has developed novel materials that allow the release of an active agent from the surface of medical devices.  The agent can prevent problems such as blood clotting and spasm, which frequently occur when deploying medical devices inside blood vessels. The preparation of the devices requires a multistep process involving the application of vacuum, temperature and different gases at certain pressures.  The pre-existing experimental rig only allows for processing of single samples of maximum length 10cm.  The primary goal for this project was to design and manufacture a test rig to process longer samples – in larger batches – to enable future scale-up of production. A unique challenge was presented in the requirement to deliver both vacuum and pressure capability within the same system, and to ensure that the system was capable of handling potentially hazardous gases. ","Requirements capture & concepting – the mtc captured the precise requirements for the rig (e. G.  Dimensions, materials) and the key process parameters (e. G.  Vacuum pressure, temperature) then proposed concepts to deliver the process. Design & procurement – the mtc identified suppliers and worked with them to develop a bespoke process reactor system.  Concurrently, the team designed and manufactured a number of additional elements such as a sample holder and control console. Commissioning - the mtc made necessary modifications to the supplied process reactor to integrate with all ancillary systems, then conducted trials to ensure process integrity under operating conditions. Requirements capture & concepting – the mtc captured the precise requirements for the rig (e. G.  Dimensions, materials) and the key process parameters (e. G.  Vacuum pressure, temperature) then proposed concepts to deliver the process. Design & procurement – the mtc identified suppliers and worked with them to develop a bespoke process reactor system.  Concurrently, the team designed and manufactured a number of additional elements such as a sample holder and control console. Commissioning - the mtc made necessary modifications to the supplied process reactor to integrate with all ancillary systems, then conducted trials to ensure process integrity under operating conditions. ","The mtc harnessed its expertise in building specialised equipment to address the challenge of delivering a unique processing rig that could handle both vacuum and pressure. A bespoke system was designed using commercial off the shelf hardware where possible to reduce build costs and in life servicing. Specialist hardware was manufactured by the mtc workshop and a bespoke physics model was developed to understand sample heating. The mtc used its expert network of consultants for vacuum technology and gas suppliers to inform the design and operation of the process. The mtc used its industrial knowledge to advise on commercialisation and production scale-up for future prototype medical devices. The mtc harnessed its expertise in building specialised equipment to address the challenge of delivering a unique processing rig that could handle both vacuum and pressure. A bespoke system was designed using commercial off the shelf hardware where possible to reduce build costs and in life servicing. Specialist hardware was manufactured by the mtc workshop and a bespoke physics model was developed to understand sample heating. The mtc used its expert network of consultants for vacuum technology and gas suppliers to inform the design and operation of the process. The mtc used its industrial knowledge to advise on commercialisation and production scale-up for future prototype medical devices. ","A unique process rig enabling a step change in development of prototype devices. Scale-up capability: samples/device size increased from 10cm to 30cm in length. Scale-up capacity: one-off samples increased to batches of up to 12 units. Sample flexibility: large size of processing chamber (approx.  10-fold increase compared to previous experimental rig) allows devices of different sizes and shapes to be processed. Process parameter optimisation: increased flexibility in processing parameters (e. G.  Range of temperature/gas pressure) to ascertain optimal processing conditions. A unique process rig enabling a step change in development of prototype devices. Scale-up capability: samples/device size increased from 10cm to 30cm in length. Scale-up capacity: one-off samples increased to batches of up to 12 units. Sample flexibility: large size of processing chamber (approx.  10-fold increase compared to previous experimental rig) allows devices of different sizes and shapes to be processed. Process parameter optimisation: increased flexibility in processing parameters (e. G.  Range of temperature/gas pressure) to ascertain optimal processing conditions. The images on the left and centre show the commissioning and testing at the mtc, the picture on the right shows the setup at ustan. ","MTC"
"Three-Dimensional (3D) Printing of Electronics onto Additive Manufacturing Components","https://www.the-mtc.org/case-studies/three-dimensional-3d-printing-of-electronics-onto-additive-manufacturing-components/","Conventional manufacturing of electronic systems have limited design freedom and customisation.  Additive manufacturing (am) technique can address these issues but cannot yet achieve the required functionality, miniaturisation and reliability for modern electronic systems.  The laser-based printed circuit board (pcb) manufacturing technique can significantly reduce the processing time/steps while improving the circuitry miniaturisation, design customisability and environmental impact.  Such advantages make this technique a robust and reliable candidate for building conformal pcb prototype units with a shorter lead time. ","The mtc conducted a comprehensive series of trials and investigations to activate the surface of the 3d printable high-performance polymers through laser surface modification and laser surface chemical activation approaches. The mtc conducted a comprehensive series of trials and investigations to activate the surface of the 3d printable high-performance polymers through laser surface modification and laser surface chemical activation approaches. Electrical resistivity and adhesion performance of the tracks were tested in the mtc electronics lab and results were in line with the pcb manufacturing industry requirements. Electrical resistivity and adhesion performance of the tracks were tested in the mtc electronics lab and results were in line with the pcb manufacturing industry requirements. A functional 555 timer circuitry and a conformal antenna design were fabricated using this technique. A functional 555 timer circuitry and a conformal antenna design were fabricated using this technique. ","Improvement in geometrical design freedom. Improvement in geometrical design freedom. Processing of both 3d printed and injection moulded thermoplastic polymers. Processing of both 3d printed and injection moulded thermoplastic polymers. Rapid prototyping of industrial embedded electronic systems and internet of things. Rapid prototyping of industrial embedded electronic systems and internet of things. Enhanced electrical conductivity (compare to other ink-based techniques). Enhanced electrical conductivity (compare to other ink-based techniques). Increased processing speed and productivity. Increased processing speed and productivity. Reduction in the environmental impact of manufacturing by reducing waste, energy usage, and need for space compared to traditional factory processes. Reduction in the environmental impact of manufacturing by reducing waste, energy usage, and need for space compared to traditional factory processes. Introduction and connections to laser system manufacturers to support their projects. Introduction and connections to laser system manufacturers to support their projects. ","The mtc has enabled the capability for 3d printing of electronics on common, and high-performance 3d printing polymers via two laser-based surface activation solutions:. The laser induced surface metallisation process which deposits a thin, fast drying, coating of a proprietary precursor material onto a 3d printed part, utilises an ultra-short pulsed laser to selectively activate the precursor into a seed layer followed by an electroless copper plating to form thick conductive tracks. The laser induced surface metallisation process which deposits a thin, fast drying, coating of a proprietary precursor material onto a 3d printed part, utilises an ultra-short pulsed laser to selectively activate the precursor into a seed layer followed by an electroless copper plating to form thick conductive tracks. The second technique focuses on the creation of conductive patterns through laser surface modification of the 3d printed polymer, followed by a surface chemical treatments and subsequent autocatalytic electroless copper plating on the laser surface treated areas. The second technique focuses on the creation of conductive patterns through laser surface modification of the 3d printed polymer, followed by a surface chemical treatments and subsequent autocatalytic electroless copper plating on the laser surface treated areas. The global laser direct structuring antenna market was valued at £1. 08 billion in 2022 and is anticipated to reach £2. 2 billion by 2029, registering a compound annual growth rate of 10. 2%.  We believe the laser induced surface metallisation technique can further strengthen the role of the laser direct structuring in this market. The global laser direct structuring antenna market was valued at £1. 08 billion in 2022 and is anticipated to reach £2. 2 billion by 2029, registering a compound annual growth rate of 10. 2%.  We believe the laser induced surface metallisation technique can further strengthen the role of the laser direct structuring in this market. ","MTC"
