"Title","Href","Author","Date","Abstract","Keywords","University Name"
"Regulating tech-sex and managing image-based sexual abuse: an Australian perspective","https://researchrepository.rmit.edu.au/esploro/outputs/journalArticle/Regulating-tech-sex-and-managing-image-based-sexual/9922297012401341?institution=61RMIT_INST","Anne-Maree Farrell (External Author); Elizabeth Agnew (External Author); Samantha Hopkins (External Author); Jennifer Power (External Author)","2023","A range of technologies now exist to facilitate sexual desire, pleasure and intimacy. Colloquially known as tech-sex, the growth in the use of such technologies has created a range of new opportunities for sexual expression and connection. Alongside these benefits are harms arising out of their non-consensual use. Drawing on a case study examining management of image-based sexual abuse as part of Australia’s recently reformed online safety laws, we argue for a regulatory approach that is both facilitative in showing due respect for adult sexual agency and protective in mitigating harm caused to affected individuals. Operating along a facilitative-protective regulatory axis, such an approach offers the potential to be suitably responsive to both the opportunities and challenges faced by adult individuals who engage with such technologies.","Tech","Royal Melbourne Institute of Technology"
"CASETiFY: A Disruptive Breakthrough in the Personalized Phone Accessories Industry","https://researchrepository.rmit.edu.au/esploro/outputs/journalArticle/CASETiFY-A-Disruptive-Breakthrough-in-the/9922296592501341?institution=61RMIT_INST","Sihyun An (External Author); Sayoon Oh (External Author)","2023","In the world of tech accessories, the phone case is often viewed as a peripheral product–a commoditized accessory piggybacking on the innovation of mobile devices. Far from the complex electronics and sophisticated software inside phones, cases are seen as plastic shells or rubber bumpers with limited value-add. How did CASETiFY, a Hong Kong-based phone case startup, become a global sensation in this unexpected product category? This paper showcases CASETiFY by spotlighting the major factors that led the brand to success. We do so by deep-diving into CASETiFY’s various projects and initiatives and identifying three crucial phases in its history–the Value Creation phase, Value Communication phase, and Value Delivery phase. We highlight how, in each of these phases, CASETiFY leveraged on both the social aspects (e.g., brand communities, authentic brand messaging, providing a sense of belonging) and the individual aspects (e.g., self-expression, individualism) of its target consumers’ psyche to cultivate success factors such as intentional creativity, intensive branding, and the identification of consumers’ psychological needs. While extensive case studies exist on prominent tech companies, academic resources on peripheral accessories, a niche side of the tech industry, are limited. By documenting CASETiFY's fascinating journey, this case study sparks a scholarly discussion on an unconventional Asian success story. It also serves as a structured reference for commoditized-accessory businesses to learn about deriving success through challenging industry norms, recognizing overlooked opportunities and thoroughly understanding one’s target consumers.","Tech","Royal Melbourne Institute of Technology"
"Medium and high-tech manufacturing development and the connections to macroeconomic factors: Insights from a fast-growing market","https://researchrepository.rmit.edu.au/esploro/outputs/journalArticle/Medium-and-high-tech-manufacturing-development-and/9922253708201341?institution=61RMIT_INST","Tuan Nguyen (External Author); Hien Nguyen (External Author)","2023","The  medium-and  high-tech manufacturing  (MHM)  sector  has  played  a  crucial  role  in Vietnam's  economic  development.  The  purpose  of  this  research  is  to  identify  the primary   factors   that   contribute   to   the   growth   of   the   medium-and   high-tech manufacturing  sector  in  Vietnam. By  applying the  autoregressive distributed lag(ARDL) method to analyze annual data from 1990 to 2020, we discovered that different macroeconomic factors affect the short-and long-term development of the MHM sector in varying ways. Specifically, digitalization and human capital have a positive influence on the growth of the MHM sector over both the short and long terms. Trade openness and  foreign  direct  investment,  however,  have  a  significant,  negative  long-term  impact on  the growth  of  the MHM  sector.  The  effect  of  financial  development  on  the  MHM sector in Vietnam is significant and positive in the short term. Our study discloses that both  the  2008–2009  global  financial  crisis  and  the  Covid-19  pandemic  positively impacted Vietnam's  MHM  sector,  as  global manufacturers  diversified  their  supply chains  and  moved  their  production  facilities  to  Vietnam  during  and  after  these events. From  the  empirical  findings,  our  study  offers  valuable  suggestions  to  the  Vietnamese government,  which  will  enable  the  country  to unlock  its  full  potential  for  MHM growth.","Tech","Royal Melbourne Institute of Technology"
"Partners, Competitors, Frenemies: How Australian Advertising Professionals Understand the Market Power of Facebook and Google","https://researchrepository.rmit.edu.au/esploro/outputs/journalArticle/Partners-Competitors-Frenemies-How-Australian-Advertising/9922292211601341?institution=61RMIT_INST","Samuel Kininmonth (RMIT Student Author)","2023","In 2019, the Australian Competition and Consumer Commission published the final report from its two-year Digital Platforms Inquiry (DPI), a landmark investigation into the impact of Google and Facebook in Australian advertising. The DPI final report presented extensive evidence of market dominance, triggered an ongoing policy conversation about the market power of U.S. platforms in Australia, and led to far-reaching reforms aimed at redressing the power of “big tech” in Australian media and advertising. This article draws on expert interviews with 24 senior advertising professionals—conducted during and immediately after the ACCC investigation—to explore their personal and professional views on Facebook, Google, and the power of U.S. platforms in ad-tech markets. We find these professionals have nuanced understandings of the Google-Facebook “duopoly.” Recurring themes included concern about platforms’ market power, anger at their commercial practices, confidence that these platforms are growing the digital advertising market, and begrudging respect for their superior ad-tech products. These diverging views paint a conflicted picture of digital advertising in a time of transformation.","Tech","Royal Melbourne Institute of Technology"
"Redirecting surveillance capitalism: Facebook and Australia’s news media bargaining code","https://researchrepository.rmit.edu.au/esploro/outputs/journalArticle/Redirecting-surveillance-capitalism-Facebook-and-Australias/9922211561601341?institution=61RMIT_INST","None","2022","Facebook’s response to the draft News Media Bargaining Code (the Code) proposed by Australia’s Morrison government in February 2021 made digital and corporate history. The Silicon Valley behemoth, with an operating rationale to manipulate and commodify human relations for profit, decided to make an example of a sovereign country. It did so by barring, blanking and scraping information broadly defined as news content from the pages of Australian organisations and entities hosted on the company’s site. Along with Google, Facebook reasoned that the Code imposed an ill-conceived arbitration model to determine revenue for news organisations using their platforms. News organisations, hoping to recoup classified and ad revenue lost to the platforms, argued for greater bargaining powers in negotiating with Facebook and Google.  The Code is underpinned by erroneous assumptions regarding market practices pertaining to digital platforms, entrenching the very problems it claims to address. The developments suggested ‘the curious role of the bargaining code: it’s meant to operate as a legislative threat so arbitration only happens when platforms and news outlets can’t agree. If Google keeps handing out money, this is unlikely to happen’ (Meese, 2021). With agreed government amendments made to the Code on Facebook’s ‘refriending’ of Australia (Frydenberg, 2021), two victorious parties emerged: the digital platforms and old news media.","Tech","Royal Melbourne Institute of Technology"
"Researching Online Dispute Resolution to Expand Access to Justice","https://researchrepository.rmit.edu.au/esploro/outputs/journalArticle/Researching-Online-Dispute-Resolution-to-Expand/9922111437301341?institution=61RMIT_INST","Amy Schmitz (External Author)","2022","There is a global access to justice crisis. Individuals do not have uniform access to lawyers, courts and remedies – with the most vulnerable individuals generally having the least and worst access. With this in mind, scholars and policymakers have argued for “online dispute resolution” (ODR) to expand access to justice (A2J). Although there is no generally accepted definition of ODR, it includes use of the Internet to prevent and/or resolve disputes. This means that ODR includes online problem diagnosis and self-help tools, as well as technologies to promote online negotiation, mediation, arbitration, community courts, and variations thereof. Nonetheless, ODR comes with perils and it is necessary to revamp research regarding ODR to promote A2J. This article will discuss ideas regarding ODR regulation and research – again with a goal toward expanding A2J.  ","Tech","Royal Melbourne Institute of Technology"
"Formats and formalization in internet advertising","https://researchrepository.rmit.edu.au/esploro/outputs/bookChapter/Formats-and-formalization-in-internet-advertising/9921863802001341?institution=61RMIT_INST","None","2020","From the flashing banner ads of the 1990s to today's auto-playing videos, Internet advertising has often been seen as disorganised, highly fluid, and sometimes unconscionably exploitative. One response has been the ongoing work of industry bodies to standardise internet advertising formats, promising greater interoperability and consumer protection. We discuss the outcomes and prospects of this project, in a media sector characterised by increasing degrees of automation, fragmentation, and internal conflict.","Tech","Royal Melbourne Institute of Technology"
"Rural Entrepreneurship in Vietnam: Identification of Facilitators and Barriers","https://researchrepository.rmit.edu.au/esploro/outputs/bookChapter/Rural-Entrepreneurship-in-Vietnam-Identification-of/9921970147801341?institution=61RMIT_INST","Javad Shahreki (External Author); Pham Hong (External Author); Nguyen Van Tung (External Author)","2020","Rural Vietnam can be defined through agriculture, rural development and rural livelihoods (Powell et al. 2011b), in which agriculture plays a critical role in Vietnam's economy, contributing 20% to gross domestic production and 40% to working population (Vietnam-Briefing 2018). However, much of Vietnam's farm production has not received a solid competitive edge in the market. Therefore, Vietnam's government has called for high-tech agricultural developments with a strong belief in rural enterprises that will benefit from its implementation and the adoption of international standards. This book chapter attempts to identify the facilitators and potential barriers to rural entrepreneurship in Vietnam by following a qualitative research design examining the literature.","Tech","Royal Melbourne Institute of Technology"
"Posthumanism and Assistive Technologies: on the social inclusion/exclusion of low tech cyborgs","https://researchrepository.rmit.edu.au/esploro/outputs/journalArticle/Posthumanism-and-Assistive-Technologies-on-the/9921863512301341?institution=61RMIT_INST","Marcelo Buzato (External Author)","2019","In this paper, we elaborate on the consequences of a post-humanist perspective to the problem of physical disability by approaching the use of assistive technologies (AT) by disabled people as the introduction of a low-tech cyborg in the world. In doing so, we highlight examples of communication ATs and provide analogies between ATs and languages in the constitution of selves and social contexts. ATs are informed ideologically, so they can be seen both as a way to fix an impaired person, or as a strategy to overcome a physical and social context that disables some people and makes other people able-bodied. We argue that becoming a low- tech cyborg can be a form of social inclusion if we understand disability to be produced by the context, rather than as an inherent dysfunctionality of the individual. Based on this assumption, we identify two strategies of social inclusion of the low-tech cyborg: disembodiment of the Self, and embodied virtuality. We remark, however, that low-tech cyborgs can be configured out of necessity or choice and add that the same socioeconomic factors that produce inequality in general are also active in the social exclusion/inclusion of the low-tech cyborg. Thus, ATs can be adopted and transformed by choice so as to broaden the gap between cyborg haves and have nots, while both kinds of cyborgs can become increasingly subject to cognitive and affective exploitation in the context of cognitive capitalism. We conclude that the potential of a post-humanist perspective to disability should not be about making impaired humans integer, nor making integer humans more than human, but keeping selves ethically connected with others whether by virtual embodiment or embodied virtuality. Keywords: low-tech cyborgs; disability; social inclusion.","Tech","Royal Melbourne Institute of Technology"
"Development of Business Hardware for Green Supply Chain Management in Vietnamese Organic Food Sector: A Conceptual Framework and Future Study","https://researchrepository.rmit.edu.au/esploro/outputs/journalArticle/Development-of-Business-Hardware-for-Green/9921861132901341?institution=61RMIT_INST","Eunsung Kim (RMIT Student Author)","2019","Steady global economic integration is driving that Vietnamese consumers are becoming more conscientious of health and wellness trends their food choices, leading to higher demand for organic food products are growing. Therefore, with increasing incomes and quality, the Vietnamese consumer has placed more consideration on the food quality and food safety regarding the effect of human health and environmental sustainability. The aim of this research is to develop to develop business hardware provide the business hardware GSCM model for the identification of what drives the organic food products sector to implement GSCM practices and possible outcomes of successful implementation in Vietnam. Following an in-depth literature review of existing studies and the embodiments of inputs in developed business hardware processes are established. Internal Circuit for KIM GSCM TECH has classified the green products safety management technologies as the regulation of inputs such as the embodiment of products safety technology, green supplier, and socio-demographic forces, which reinforcement on environmental sustainability.","Tech","Royal Melbourne Institute of Technology"
