"Title","Href","Author","Date","Abstract","Keywords","University Name"
"Haiti: Hi-tech Haiti, Yes, Really","https://pure.solent.ac.uk/en/publications/haiti-hi-tech-haiti-yes-really","White, R.","27 May 2014","None","Tech","Solent University"
"(Position statement) The limits of technology - Never just tech","https://pure.solent.ac.uk/en/publications/position-statement-the-limits-of-technology-never-just-tech","Benjamin, G.","27 Oct 2020","None","Tech","Solent University"
"The RSC's high-tech 'The Tempest': does it work?","https://pure.solent.ac.uk/en/publications/the-rscs-high-tech-the-tempest-does-it-work","Inverne, R.","24 Jan 2017","Review of the RSC's first collaboration with Imaginarium Studios. Concentration of the use of multi-media in theatre.","Tech","Solent University"
"Who’s at stake? The role of the stakeholder in UK tech policy","https://pure.solent.ac.uk/en/publications/whos-at-stake-the-role-of-the-stakeholder-in-uk-tech-policy","Vollmer, S.; Taylor, M.; Ravat, Z.; Benjamin, G.","25 May 2023","The idea of the ‘stakeholder’ is prevalent in discussions of technology policy. But who counts as a stakeholder, who holds power over who is included, whose voice is left out of technology policy discourses and practices?The aim of this project is to gain a critical understanding of the definition and role of the ‘stakeholder’ in the development of technology policy. What counts as a ‘stake’? Who has a ‘stake’?In this report, we present an analysis of 195 UK tech policy documents, assessed for the usage of the term stakeholder and citational practices. We also present results of a workshop with government, academia and civil society discussing policy practices, and provide recommendations for more representative processes for tech policy.","Tech","Solent University"
"Viral marketing and the new competitive advantage","https://pure.solent.ac.uk/en/publications/viral-marketing-and-the-new-competitive-advantage","Ren, Q.; Tsang, D.","1 Dec 2015","The role played by viral marketing has received considerable academic and digital media attention recently. Key issues in viral marketing have been examined through the lens of the mode of marketing message transmission, including self-replicating on the basis of quality difference, individuals’ emotional needs, as well as how users are connected across various social networks. This paper presents a review and analysis of viral marketing studies from 2001 to the present day. It investigates how viral marketing facilitate the diffusion of social media products and the relationship between marketers and these product users by taking a look at the implementation of viral marketing in two European online game firms Jagex Games Studio and Rovio Entertainment. The results from this review and analysis indicate that viral marketing plays an important role in accelerating the interaction between marketers and users (as well as the user groups) in the field of digital media and high tech consumption. Therefore, it is evident that firms should understand the social contagion process and target well-connected users purposefully in order to create its competitive advantage.","Tech","Solent University"
"Safety first: The risk of over-reliance on technology in navigation","https://pure.solent.ac.uk/en/publications/safety-first-the-risk-of-over-reliance-on-technology-in-navigatio","Wu, J.; Thorne-Large, J.; Zhang, P.","20 Apr 2021","Modern navigation heavily relies on technology. A modern ship's bridge is a high-tech centre with various equipment, such as Radar/ARPA, Automatic Identification System (AIS), Electronic Chart Display and Information Systems (ECDIS), Global Positioning System (GPS), satellite communications, and so on. The ability to operate various maritime technologies is among the most important part of navigation officers’ knowhow. However, as any technology can be an error, there will be failure happen on maritime technologies, such as navigational sensors and computer-based bridge systems. As an unsafe behaviour, over-reliance on technologies in watch keeping may have disastrous consequences. This article analysed the relationship between safe navigation of a ship and an increasing reliance placed on technology by master and officers. It identified at which stage a reliance on technology becomes an over-reliance, and the major causes of this, such as insufficient training and fatigue. Finally, it examines the consequences of an over-reliance on technology and makes some proposals on how these consequences can be prevented.","Tech","Solent University"
"“Brave New World”: The New Q, Masculinity, and the Craig Era Bond Films","https://pure.solent.ac.uk/en/publications/brave-new-world-the-new-q-masculinity-and-the-craig-era-bond-film","Hines, C.","18 Apr 2018","This article examines the significance of the new Q in Skyfall (Dir. Sam Mendes, 2012) and Spectre (Dir. Sam Mendes, 2015). It explores some of the ways that the new take on Q in the Craig era has not only adapted the dynamic between Bond and the MI6 gadget-master by turning him into a young tech geek, but also speaks volumes about masculinity and the Bond franchise. ","Tech","Solent University"
"Implementation of Optical Burst Switching Framework in Ptolemy Simulator","https://pure.solent.ac.uk/en/publications/implementation-of-optical-burst-switching-framework-in-ptolemy-si","Ahmad, S.; Malik, S.","2004","None","Tech","Solent University"
"Analytic Characterization of the Wake Behind In-Stream Hydrokinetic Turbines","https://pure.solent.ac.uk/en/publications/analytic-characterization-of-the-wake-behind-in-stream-hydrokinet","Pyakurel, P.; VanZwieten, J. H.; Wenlong, T.; Ananthakrishnan, P.","1 Nov 2017","Analytical algorithms developed and optimized for quantifying the wake behind in-stream hydrokinetic turbines are presented. These algorithms are based on wake expressions originally developed for wind turbines. Unlike previous related studies, the optimization of empirical coefficients contained in these algorithms is conducted using centerline velocity data from multiple published experimental studies of the wake velocities behind in-stream hydrokinetic turbine models or porous disks and not using computational fluid dynamics. Empirical coefficients are first individually optimized based on each set of experimental data, and then empirically based coefficient expressions are created using all of the data sets collectively, such that they are functions of ambient turbulence intensity. This expands the applicability of the created algorithms to cover the expected range of operating conditions for in-stream hydrokinetic turbines. Wind turbine wake model expressions are also modified to characterize the dependence of wake velocities on radial location from the centerline of in-stream hydrokinetic turbines. Thus, expressions with empirically optimized coefficients for calculating wake velocities behind in-stream hydrokinetic turbines are described in terms of both centerline and radial positions. Wake predictions made using the Larsen model for radial dependence are shown to diverge from experimental measurements near the wake radius defined by the Jensen model, suggesting that this is a good indication of the cutoff point beyond which numerical estimations no longer apply. Results suggest that using a combined Larsen/Ainslie approach or combined Jensen/Ainslie approach for characterizing wake have similar mean errors to using only a Larsen approach.","Tech","Solent University"
"Supervision during resistance training: a comparison of trainer and trainee perceptions","https://pure.solent.ac.uk/en/publications/supervision-during-resistance-training-a-comparison-of-trainer-an","Fisher, J.; Androulakis-Korakakis, P.; Giessing, J.; Helms, E.; Schoenfeld, B.; Smith, D.; Winett, R.","1 Dec 2023","Background: Resistance training has well-documented health benefits; however, participation and adherence remain overwhelmingly low. Supervision has been evidenced to improve adherence, and produce favourable adaptations compared to unsupervised resistance training. A recent exploratory systematic review and meta-analysis on supervision during resistance training noted a lack of clarity as to the purpose/intent of the supervisor within the body of literature.Methods: An online cross-sectional survey study was conducted in English and distributed primarily across social media platforms and through the authors’ personal and professional networks. The aim of the survey was to compare the perceptions of supervision between trainers and trainees. Secondary outcomes included exploratory analyses of the impact of training experience, sex of participant, and comparison based on supervision type.Results: 468 participants completed all elements of the survey (68% male, 32% female). Of which 236 were personal trainers/strength coaches, and 232 were trainees. In brief, descriptive data from the survey suggest that trainers perceived supervision as more important than trainees for the characteristics and variables measured. Females perceived supervision in resistance training as more important than males. Trainees who engage in supervised resistance training reported supervision to be more important compared to those training alone or with a training partner. Technical coaching was reported to be the most important characteristic of supervision. Finally, trainers and trainees engaging in supervised strength training reported lower injury rates compared to those strength training unsupervised or with a training partner. Qualitative data are presented regarding perceptions of how and why supervision should differ based on sex, age, and experience, as well as reporting injury experiences.Conclusion: Our data suggest that the perceived benefits of supervision vary based on population. We posit that the present data have implications for both trainers and trainees, which might serve to strengthen a relationship by aligning roles and realising goals in supervised resistance training. Further, this data might provide insight and prompt future research as to how to engage more people into resistance training.","Tech","Solent University"
"Digital Society: Regulating privacy and content online","https://pure.solent.ac.uk/en/publications/digital-society-regulating-privacy-and-content-online","Benjamin, G.","Sept 2020","Society increasingly relies on digital platforms. But regulation of how we interact with social media, search engines or other online platforms has so far been unsuccessful in preventing harms, ensuring rights are upheld or empowering citizens to engage in digital society. Current laws tend to separate issues out into privacy and online content. This has the advantage of giving clear remits to regulators and focusing energy, resources and expertise on specic issues. But it also holds regulators and policy-makers back when it comes to tackling larger systemic issues. This report argues for broader regulation that brings together the ways data about individuals goes out (privacy or data protection) and how the information they receive comes in (recommendations for online content, particularly when harmful and/or political). This currently spans multiple government departments and regulators in the UK, creating overlaps in some areas but leaving gaping holes in others. At a time when we are relying more and more on large platforms with huge amounts of power, it is essential to empower citizens, communities, smaller organisations, and government, to tip the balance away from a few big tech executives. Only by taking a more comprehensive and cohesive approach can regulation promote rights, justice and equity for a more positive digital society.","Tech","Solent University"
