"Title","Href","Author","Date","Abstract","Keywords","University Name"
"Enhanced network inference from sparse incomplete time series through automatically adapted  L1 regularization","https://eprints.soton.ac.uk/489694/","Zhongqi Cai; Enrico Gerding; Markus Brede","22 April 2024","Reconstructing dynamics of complex systems from sparse, incomplete time series data is a challenging problem with applications in various domains. Here, we develop an iterative heuristic method to infer the underlying network structure and parameters governed by Ising dynamics from incomplete spin configurations based on sparse and small-sized samples. Our method iterates between imputing missing spin states given current coupling strengths and re-estimating couplings from completed spin state data. Central to our approach is the novel application of adaptive l1regularization on updating coupling strengths, which features an automatic adjustment of the regularization strength throughout the iterative inference process. By doing so, we aim at preventing over-fitting and enforcing the sparsity of couplings without access to ground truth parameters. We demonstrate that this approach accurately recovers parameters and imputes missing spins even with substantial missing data and short time series, providing improvements in the inference of Ising model parameters even for relatively small sample sizes.","Tech","University of Southampton"
"A methodological review of randomised n-of-1 trials","https://eprints.soton.ac.uk/489294/","Olivia Hawkesworth; Robin Chatters; Steven Julious; Andrew Cook; Katie Biggs; Kiera Solariman; Michael C.H. Quah; Sxe Chang Cheong","6 April 2023","Background: n-of-1 trials are a type of crossover trial designed to optimise the evaluation of health technologies in individual patients. This trial design may be considered for the evaluation of health technologies in rare conditions where fewer patients are available to take part in research. This review describes the characteristics of randomised n-of-1 trials conducted over the span of 12 years, including how the n-of-1 design has been employed to study both rare and non-rare conditions.Methods: databases and clinical trials registries were searched for articles including “n-of-1” in the title between 2011 and 2023. The reference lists of reviews identified by the searches were searched for any additional eligible articles. Randomised n-of-1 trials were selected for inclusion and data were extracted on a range of design, population, and analysis characteristics. Descriptive statistics were produced for all variables.Results: we identified 74 studies meeting our eligibility criteria, 13 of which (17.6%) were conducted in rare condi- tions. They were conducted in a range of clinical areas with the most common being neurological conditions (n = 16, 21.6%). The median (Q1, Q3) number of participants randomised was 9 (4, 20) and 12 trials (16.2%) involved a single patient only. Forty-six (62.2%) trials evaluated pharmaceutical interventions and 49 (66.2%) trials were placebo con- trolled. Trials had a median (Q1, Q3) of six (4, 8) periods and 61 (82.4%) compared two health technologies. Fifty-seven (77.0%) trials incorporated blinding and 32 (43.2%) had a washout period. Forty-nine trials (66.2%) used patient- reported outcome measures (PROMs) to assess the primary outcome. Trials used a range of approaches to analysis and 48 (64.9%) combined data from multiple patients. The characteristics of the n-of-1 trials conducted in rare condi- tions were generally consistent with those in non-rare conditions.Conclusions: n-of-1 trials are still underused and the application of the n-of-1 design for the evaluation of health technologies for rare diseases has been particularly limited. We have summarised the characteristics of randomised n-of-1 trials in rare and non-rare conditions. We hope that it can inform researchers in the design of future n-of-1 stud- ies. Further work is required to provide guidance on specific design considerations, implementation, and statistical analysis of these studies.Trial registration: not applicable.","Tech","University of Southampton"
"Muscle stiffness indicating mission crew health in space","https://eprints.soton.ac.uk/487771/","Britt Schoenrock; Paul E. Muckelt; Maria Hastermann; Kirsten Albracht; Robert MacGregor; David Martin; Hans-Christian Gunga; Michele Salanova; Maria J. Stokes; Martin B. Warner; Dieter Blottner","16 February 2024","Muscle function is compromised by gravitational unloading in space affecting overall musculoskeletal health. Astronauts perform daily exercise programmes to mitigate these effects but knowing which muscles to target would optimise effectiveness. Accurate inflight assessment to inform exercise programmes is critical due to lack of technologies suitable for spaceflight. Changes in mechanical properties indicate muscle health status and can be measured rapidly and non-invasively using novel technology. A hand-held MyotonPRO device enabled monitoring of muscle health for the first time in spaceflight (> 180 days). Greater/maintained stiffness indicated countermeasures were effective. Tissue stiffness was preserved in the majority of muscles (neck, shoulder, back, thigh) but Tibialis Anterior (foot lever muscle) stiffness decreased inflight vs. preflight (p","Tech","University of Southampton"
"Innovation and foresight in SMEs: lessons from the case of U.K. digital health companies","https://eprints.soton.ac.uk/486353/","Riccardo Vecchiato; Hang Do; Yannis Pierrakis; Robert Blackburn","11 November 2023","Technological innovation represents a significant opportunity for those organizations that are able to identify new technologies early and anticipate their future evolution and impact. At the same time, technological change is a key challenge, particularly for organizations that have limited resources for monitoring and developing emerging technologies and/or for transferring technologies from other industries/sectors. This is the case, in particular, for small- and medium-sized enterprises (SMEs). The main objective of this article is to propose a new methodological approach to foresight that contributes to the literature on innovation management. This approach is tailored to SMEs and addresses the specific barriers they face in relation to foresight and innovation, e.g., limited access to information about new technologies and limited familiarity with advanced managerial practices. We illustrate our novel approach to foresight and innovation in SMEs and its application to a cluster of 16 SMEs of the London Digital Health Hub, and we discuss the main benefits and disadvantages of this approach. We contribute to the foresight and innovation literature by developing a methodological framework that is specifically designed for SMEs, rather than the adaptation or transfer of the dominant frameworks that have been previously designed for and applied in large organizations, corporate firms, and public institutions.","Tech","University of Southampton"
"Predicting influenza-like illness trends based on sentinel surveillance data in China from 2011 to 2019: A modelling and comparative study             1","https://eprints.soton.ac.uk/490954/","Xingxing Zhang; Liuyang Yang; Teng Chen; Qing Wang; Jin Yang; Ting Zhang; Jiao Yang; Hongqing Zhao; Shengjie Lai; Luzhao Feng; Weizhong Yang","20 November 2023","Background: influenza is an acute respiratory infectious disease with a significant global disease burden. Additionally, the coronavirus disease 2019 pandemic and its related non-pharmaceutical interventions (NPIs) have introduced uncertainty to the spread of influenza. However, comparative studies on the performance of innovative models and approaches used for influenza prediction are limited. Therefore, this study aimed to predict the trend of influenza-like illness (ILI) in settings with diverse climate characteristics in China based on sentinel surveillance data using three approaches and evaluate and compare their predictive performance.Methods: the generalized additive model (GAM), deep learning hybrid model based on Gate Recurrent Unit (GRU), and autoregressive moving average-generalized autoregressive conditional heteroscedasticity (ARMA—GARCH) model were established to predict the trends of ILI 1-, 2-, 3-, and 4-week-ahead in Beijing, Tianjin, Shanxi, Hubei, Chongqing, Guangdong, Hainan, and the Hong Kong Special Administrative Region in China, based on sentinel surveillance data from 2011 to 2019. Three relevant metrics, namely, Mean Absolute Percentage Error (MAPE), Root Mean Squared Error (RMSE), and R squared, were calculated to evaluate and compare the goodness of fit and robustness of the three models.Results: considering the MAPE, RMSE, and R squared values, the ARMA—GARCH model performed best, while the GRU-based deep learning hybrid model exhibited moderate performance and GAM made predictions with the least accuracy in the eight settings in China. Additionally, the models’ predictive performance declined as the weeks ahead increased. Furthermore, blocked cross-validation indicated that all models were robust to changes in data and had low risks of overfitting.Conclusions: our study suggested that the ARMA—GARCH model exhibited the best accuracy in predicting ILI trends in China compared to the GAM and GRU-based deep learning hybrid model. Therefore, in the future, the ARMA—GARCH model may be used to predict ILI trends in public health practice across diverse climatic zones, thereby contributing to influenza control and prevention efforts.","Tech","University of Southampton"
"Predictive models for photosynthetic active radiation irradiance in temperate climates","https://eprints.soton.ac.uk/490879/","Yazan J.K. Musleh; Tasmiat Rahman","20 May 2024","This research evaluated 10 different empirical models designed for predicting Photosynthetically Active Radiation (PAR) at higher latitudes, addressing atmospheric conditions specific to these regions. The research introduces the Musleh-Rahman (MR) model, which substitutes Diffuse Horziontal Irradiance (DHI) with Clear Direct Normal Irradiance (DNI), Ozone and Aerosol Optical Depth at 550 nm (AOD550) sourced for satellite reanalysis data, achieving a Mean Bias Deviation (MBD) of 0.19 % and Root Mean Square Error (RMSE) of 12.42 W/m2. Furthermore, when applied to six untested locations, results demonstrate that the MR model outperformed the best performing empirical model with an MBD improvement of 3.68 % and an RMSE of 4.28 W/m2, whereas, when compared to machine learning models, the Light Gradient Boost Model (LGBM), had an MBD of −3.85 %. The MR model also maintained consistency across seasonal and density evaluations, attaining an R2value as high as 0.9709, thereby highlighting the significant benefits of integrating satellite-sourced atmospheric data into PAR prediction models. Moreover, the research illustrated that substituting DHI with Clear DNI, Ozone, and AOD550 not only reduces MBD and boosts R2values but also amplifies the model's applicability and accuracy in capturing early PAR peaks and reducing overestimations through precise adjustments in Ozone and AOD550 levels. This highlights the benefits of incorporating satellite-derived atmospheric data into PAR predictions models.","Tech","University of Southampton"
"Direct numerical simulation of a high-pressure hydrogen micromix combustor: flame structure and stabilisation mechanism","https://eprints.soton.ac.uk/484393/","T.L. Howarth; M.A. Picciani; E.S. Richardson; M.S. Day; A.J. Aspden","9 September 2023","A high-pressure hydrogen micromix combustor has been investigated using direct numerical simulation with detailed chemistry to examine the flame structure and stabilisation mechanism. The configuration of the combustor was based on the design by Schefer et al. [1], using numerical periodicity to mimic a large square array. A precursor simulation of an opposed jet-in-crossflow was first conducted to generate appropriate partially-premixed inflow boundary conditions for the subsequent reacting simulation. The resulting flame can be described as an predominantly-lean inhomogeneously-premixed lifted jet flame. Five main zones were identified: a jet mixing region, a core flame, a peripheral flame, a recirculation zone, and combustion products. The core flame, situated over the jet mixing region, was found to burn as a thin reaction front, responsible for over 85% of the total fuel consumption. The peripheral flame shrouded the core flame, had low mean flow with high turbulence, and burned at very lean conditions (in the distributed burning regime). It was shown that turbulent premixed flame propagation was an order-of-magnitude too slow to stabilise the flame at these conditions. Stabilisation was identified to be due to ignition events resulting from turbulent mixing of fuel from the jet into mean recirculation of very lean hot products. Ignition events were found to correlate with shear-driven Kelvin–Helmholtz vortices, and increased in likelihood with streamwise distance. At the flame base, isolated events were observed, which developed into rapidly burning flame kernels that were blown downstream. Further downstream, near-simultaneous spatially-distributed ignition events were observed, which appeared more like ignition sheets. The paper concludes with a broader discussion that considers generalising from the conditions considered here.","Tech","University of Southampton"
"Haunted TikTok: comedy in Gothic times","https://eprints.soton.ac.uk/474451/","Megen de Bruin-Molé","11 November 2022","None","Tech","University of Southampton"
"Improving predictions of critical shear stress in gravel bed rivers: Identifying the onset of sediment transport and quantifying sediment structure","https://eprints.soton.ac.uk/489415/","Rebecca A. Hodge; Hal E. Voepel; Elowyn M. Yager","25 March 2024","Understanding when gravel moves in river beds is essential for a range of different applications but is still surprisingly hard to predict. Here we consider how our ability to predict critical shear stress (τc) is being improved by recent advances in two areas: (1) identifying the onset of bedload transport; and (2) quantifying grain-scale gravel bed structure. This paper addresses these areas through both an in-depth review and a comparison of new datasets of gravel structure collected using three different methods. We focus on advances in these two areas because of the need to understand how the conditions for sediment entrainment vary spatially and temporally, and because spatial and temporal changes in grain-scale structure are likely to be a major driver of changes in τc. We use data collected from a small gravel-bed stream using direct field-based measurements, terrestrial laser scanning (TLS) and computed tomography (CT) scanning, which is the first time that these methods have been directly compared. Using each method, we measure structure-relevant metrics including grain size distribution, grain protrusion and fine matrix content. We find that all three methods produce consistent measures of grain size, but that there is less agreement between measurements of grain protrusion and fine matrix content.","Tech","University of Southampton"
"Event-B development of modelling human intervention request in self-driving vehicle systems","https://eprints.soton.ac.uk/490662/","Fahad Alotaibi; Thai Son Hoang; Asieh Salehi Fathabadi; Michael Butler","24 February 2024","In the design of autonomous systems, seamless integration with human operators is crucial, particularly when humans are considered as a fail-safe for intervening in hazardous situations. This study presents an Event-B intervention timing pattern designed to include human drivers' responses when they act as fallback mechanisms in Self-Driving Vehicle (SDV) systems. The proposed pattern outlines specific timings for driver interventions following alerts from SDVs, offering a clear set of expectations and conditions for human drivers during these critical takeover instances. The usability of this pattern is demonstrated through a case study, highlighting its importance for situations that require interventions. Ultimately, it sheds light on the operational aspects of SDVs, ensuring a safe and orderly transition from automated to manual control.","Tech","University of Southampton"
