"Title","Href","Author","Date","Abstract","Keywords","University Name"
"Financial literacy and responsible finance in the FinTech era : capabilities and challenges  ","https://research-repository.st-andrews.ac.uk/handle/10023/23739","Panos, Georgios; Wilson, John O. S.","February 2020","A growing body of evidence suggests that financial literacy plays an important role in financial well-being, and that differences in financial knowledge acquired early in life can explain a significant part of financial and more general well-being in adult life. Financial technology (FinTech) is revolutionising the financial services industry at an unrivalled pace. Views differ regarding the likely impact that FinTech is likely to have on personal financial planning, well-being and societal welfare. In an era of mounting student debt, increased (digital) financial inclusion, and threats arising from instances of (online) financial fraud, financial education and enlightened financial advising appropriate policy interventions that enhance financial and overall well-being. This special issue engages in this important academic and policy agenda by presenting a set of seven new papers emanating from four parallel streams of literature related to financial literacy and responsible finance.","Tech","University of St Andrews"
"On the persistence of output fluctuations in high technology sectors  ","https://research-repository.st-andrews.ac.uk/handle/10023/652","Lasselle, Laurence; Aloi, Marta; McMillan, David G.","April 2000","Fatás (2000) argues that in a cross-section analysis of countries there exists a positive correlation between long-term growth rates and the persistence of output fluctuations. The current paper extends this line of research by examining manufacturing sectors of an economy which can be characterised by two levels of technology; a low level and a high level. Analysis of the data reveals a positive correlation between long-term growth rates and the persistence of output fluctuations in ‘high-tech’ sectors. This empirical analysis is further supported by reformulating the model of Matsuyama (1999b) in a stochastic environment. Within this framework the model is able to capture the two main theories of growth, namely; the Solow model and the Romer model. The stochastic nature of the long run output trend is endogenous and based on technological shocks. Despite the cyclical nature of the shocks we are able to show that output fluctuations are more persistent in ‘high-tech’ sectors.","Tech","University of St Andrews"
"High technology firm performance, innovation, and networks : an empirical analysis of firms in Scottish high technology clusters  ","https://research-repository.st-andrews.ac.uk/handle/10023/539","Ujjual, Vandana","April 2008","This thesis is an empirical analysis of the performance, innovation and networks of high technology firms. It is conducted at the micro-economic level, based on new empirical evidence by fieldwork methods, from the primary source data on firms in the five Scottish hi-tech clusters. The questionnaire design is cross-sectional, to which was added a time series element, and involves many unique features. It enabled the gathering of rich quantitative and qualitative data on all stages of the dynamic innovation process. The database was used in cross-sectional analysis of many key hypotheses in the hi-tech context, by robust econometric models of export, innovation (e.g. Schumpeterian hypothesis), and growth (e.g. Gibrat’s Law of Proportionate Effect) performances. The hi- tech firm’s networks, internationalisation and embeddeddness, are analysed using novel measures. A structural simultaneous equations model is developed to explain the relationship between networks, innovation and performance, by establishing a link between the innovation input, the innovation output, and performance, based on the empirical knowledge production function model. The 2-stage, 4 equations model, (using Heckman’s procedure) deals with both simultaneity and sample selection bias. Robust estimation techniques (I3SLS, Tobit) are used for estimation. The results highlight the simultaneity and selectivity issue. The hi-tech firms with aggressive innovation strategies, international markets and global products, still find it vital to be embedded in local networks, which in turn raise their performance. Technology-push factors, research networks, knowledge spillovers from markets, and a firm’s radical innovation attempts determine its innovation input intensity. Firms are unable to attain innovation success through innovation investments alone; integration of internal and external resources is important. The innovation sales intensity are not determined by innovation input, but by the demand-pull factors like customer networks, exporting, and market expansion strategies. This also applies to their export intensity. Lack of internal resources, capabilities, and government support are the major obstacles to commercialisation of innovation.","Tech","University of St Andrews"
"Exploring the experiences and views of doctors working with Artificial Intelligence in English healthcare : a qualitative study  ","https://research-repository.st-andrews.ac.uk/handle/10023/27575","Ganapathi, Shaswath; Duggal, Sandhya","March 2023","Background The National Health Service (NHS) aspires to be a world leader of Artificial Intelligence (AI) in healthcare, however, there are several barriers facing translation and implementation. A key enabler of AI within the NHS is the education and engagement of doctors, however evidence suggests that there is an overall lack of awareness of and engagement with AI. Research aim This qualitative study explores the experiences and views of doctor developers working with AI within the NHS exploring; their role within medical AI discourse, their views on the implementation of AI more widely and how they consider the engagement of doctors with AI technologies may increase in the future. Methods This study involved eleven semi-structured, one-to-one interviews conducted with doctors working with AI in English healthcare. Data was subjected to thematic analysis. Results The findings demonstrate that there is an unstructured pathway for doctors to enter the field of AI. The doctors described the various challenges they had experienced during their career, with many arising from the differing demands of operating in a commercial and technological environment. The perceived awareness and engagement among frontline doctors was low, with two prominent barriers being the hype surrounding AI and a lack of protected time. The engagement of doctors is vital for both the development and adoption of AI. Conclusions AI offers big potential within the medical field but is still in its infancy. For the NHS to leverage the benefits of AI, it must educate and empower current and future doctors. This can be achieved through; informative education within the medical undergraduate curriculum, protecting time for current doctors to develop understanding and providing flexible opportunities for NHS doctors to explore this field.","Tech","University of St Andrews"
"Introduction : the making of 'Maré from the Inside'  ","https://research-repository.st-andrews.ac.uk/handle/10023/28533","Barnes, Nick; Klein, Peter","April 2021","None","Tech","University of St Andrews"
"Is corporate China ready for the green economy?  ","https://research-repository.st-andrews.ac.uk/handle/10023/3778","Association of Chartered Certified Accountants","October 2012","This report summarises the ACCA and WWF roundtable held in Beijing on 29 June 2012, one of a series of events addressing sustainability issues relevant to the business community in Asia.","Tech","University of St Andrews"
"Optical illusion? The growth and development of the optics valley of China  ","https://research-repository.st-andrews.ac.uk/handle/10023/6205","Miao, Tian; Hall, P.","April 2014","The ‘cultivated’ nature of the Chinese science parks, against the background of a transitional economy, differentiates them from spontaneous and cooperative Western models, and is a phenomenon deserving close examination. We study the dynamics and features of the so-called Optics Valley of China (OVC) in Hubei, aiming to explore the characteristics of an embryonic local innovation system constructed in a less-favoured region. The results show that institutional factors are the leading forces in a cultivated science park like the OVC. However, along with the shifting focus of the local government, the OVC’s industrial scale has remained small and its industrial chain has remained incomplete. Moreover, the lack of trust and interactions between various components in this innovation system has been highly noticeable. All these features may be seen as warnings to the OVC that a revision of this innovation system is needed in order to avoid the fate of becoming an ‘optical illusion’.","Tech","University of St Andrews"
"The Virtual Time Travel Platform : engineering a generic framework for immersive cultural heritage scenes  ","https://research-repository.st-andrews.ac.uk/handle/10023/29420","McCaffery, John","June 2015","This thesis presents the Virtual Time Travel Platform (VTTP), a flexible platform for creating, sharing and deploying interactive cultural heritage content across a diverse range of contexts. The interactive scenes created using the VTTP enable experiential learning on cultural heritage topics. The VTTP supports the creation of scenes using freely available tools. These scenes can then be deployed into museums, schools and across the Internet through a process of reconfiguration rather than  redevelopment. The VTTP enables high tech, immersive exhibits to be produced with a budget and a flexibility that is suitable for co-creation with community museums as opposed to national institutions. To date the VTTP has been used to deploy three heterogenous museum exhibits across Scotland which have been visited by more than 10,000 visitors in the 18 months since the first one went  live. This thesis presents an evaluation of the success of these exhibits at engaging the public with the topics they present.  The VTTP was created by augmenting existing Open Virtual World (OVW) software (OpenSim) to support installation into museums. The component which adds this functionality is a bespoke application called Chimera. Chimera supports immersive displays, Natural User Input (NUI) control and the embedding of experiential exploration as part of a larger context suitable for museums. The extension of OVW technology to enable museum deployment is the major contribution of this work.  To support the museum deployments a quantitative analysis of the VTTP Viewer component is presented. This evaluates the impact  of Viewer quality of service onuser quality of experience and suggests heuristics for optimising VTTP deployments.","Tech","University of St Andrews"
"A brief history of Rio de Janeiro's favelas and Complexo da Maré  ","https://research-repository.st-andrews.ac.uk/handle/10023/28534","Barnes, Nick","April 2021","None","Tech","University of St Andrews"
"Policing Rio de Janeiro and Complexo da Maré  ","https://research-repository.st-andrews.ac.uk/handle/10023/28535","Barnes, Nick; Savell, Stephanie","April 2021","None","Tech","University of St Andrews"
