"Title","Href","Author","Date","Abstract","Keywords","University Name"
"AI","https://openresearch.surrey.ac.uk/esploro/outputs/bookChapter/AI/99818261402346?institution=44SUR_INST","Bonnie Buchanan","13/05/2020","Artificial intelligence (AI) is impacting industries ranging from IT to financial services, healthcare, education, surveillance and regulation. Between 2012 and 2016 the US invested $18.2 billion into AI compared with $2.6 billion in China. This chapter presents an analysis of AI in China and the West. China, the United Kingdom (UK) and the European Union (EU) have adopted a government‐led approach to AI. The United States’ (US) AI strategy has been dominated (and self‐regulated) by big tech companies. Singapore's AI structure emphasizes a more “human‐centric” approach that includes explainability, transparency and fairness to establish public trust in AI. China outpaces the US in terms of both deep learning and AI‐related patent publications, and the gap is closing for machine learning‐related patent publications. The US companies focus on machine learning, speech recognition and speech synthesis, whereas the Chinese ones focus on AI searching and facial recognition.","Tech","University of Surrey"
"Simulating IFEP systems","https://openresearch.surrey.ac.uk/esploro/outputs/journalArticle/Simulating-IFEP-systems/99512966802346?institution=44SUR_INST","PJ Norman; JD Schuddebeurs; CD Booth; SJ Galloway; GM Burt; JR McDonald; A Villasenor; R Todd; JM Apsley; M Barnes;  ... (16 authors) ","01/10/2006","None","Marine","University of Surrey"
"Valuation of Marine Plastic Pollution in the European Arctic: Applying an Integrated Choice and Latent Variable Model to Contingent Valuation","https://openresearch.surrey.ac.uk/esploro/outputs/journalArticle/Valuation-of-Marine-Plastic-Pollution-in/99514973202346?institution=44SUR_INST","Tenaw G. Abate; Tobias Borger; Margrethe Aanesen; Jannike Falk-Andersson; Kayleigh Wyles; Nicola Beaumont","03/2020","Despite its remoteness, marine plastic pollution is a significant environmental problem in the Arctic. In Svalbard, for example, plastics are found on the shorelines, in the water column, on the ocean floor and in the ice. Organisms have been observed to be entangled in nets and ingestion of plastics has been documented in a range of organisms. Notably almost all Arctic bird species have been found to have ingested plastic, with Northern fulmars being particularly affected, with 89% of samples recorded as having ingested plastic. Identification and valuation of ecosystem services affected by marine plastic pollution can provide input for decision makers in evaluating and comparing management policies concerning this unique environment. This study employs the contingent valuation method (CVM) for eliciting the willingness to pay (WTP) of Norwegian households for reducing marine plastic pollution around the archipelago of Svalbard. An Integrated Choice and Latent Variable model (ICLV) is employed to explore attitudinal determinants of WTP. We find an average WTP for an initiative to reduce marine plastics of NOK 5,485 (USD 642) per household per year. The ICLV results reveal that people who are relatively more concerned about marine plastic pollution and who deem the proposed initiative effective are willing to pay more (up to 85 % and 50 %, respectively). The use of ICLV models in CVM and recommendations for future research are discussed.","Marine","University of Surrey"
"Whole turbine CFD modelling","https://openresearch.surrey.ac.uk/esploro/outputs/conferencePresentation/Whole-turbine-CFD-modelling/99516044702346?institution=44SUR_INST","NJ Hills","01/01/2007","None","Marine","University of Surrey"
"NONLINEAR SEISMIC ANALYSIS OF FREE SPANNING SUBMARINE PIPELINES: EFFECTS OF PIPE-WATER INTERACTION","https://openresearch.surrey.ac.uk/esploro/outputs/conferencePresentation/NONLINEAR-SEISMIC-ANALYSIS-OF-FREE-SPANNING/99514176502346?institution=44SUR_INST","M Zeinoddini; SM Sadrossadat; GAR Parke","01/01/2008","None","Marine","University of Surrey"
"PERFORMANCE OF SEGMENTED SWEPT AND UNSWEPT CABLE FAIRINGS AT LOW REYNOLDS-NUMBERS","https://openresearch.surrey.ac.uk/esploro/outputs/journalArticle/PERFORMANCE-OF-SEGMENTED-SWEPT-AND-UNSWEPT/99516373302346?institution=44SUR_INST","AR PACKWOOD","01/01/1990","None","Marine","University of Surrey"
"SINGLE AND MULTIPLE VISUAL PIGMENTS IN DEEP-SEA FISHES","https://openresearch.surrey.ac.uk/esploro/outputs/journalArticle/SINGLE-AND-MULTIPLE-VISUAL-PIGMENTS-IN/99515729302346?institution=44SUR_INST","JC PARTRIDGE; SN ARCHER; J VANOOSTRUM","01/02/1992","None","Marine","University of Surrey"
"AFTERBODY SHAPING AND TRANSITION PREDICTION FOR A LAMINAR-FLOW UNDERWATER VEHICLE","https://openresearch.surrey.ac.uk/esploro/outputs/journalArticle/AFTERBODY-SHAPING-AND-TRANSITION-PREDICTION-FOR/99512416202346?institution=44SUR_INST","AR PACKWOOD; A HUGGINS","01/07/1994","None","Marine","University of Surrey"
"THE OPTIMUM DIMENSIONS FOR A LONG-RANGE, AUTONOMOUS, DEEP-DIVING, UNDERWATER VEHICLE FOR OCEANOGRAPHIC RESEARCH","https://openresearch.surrey.ac.uk/esploro/outputs/journalArticle/THE-OPTIMUM-DIMENSIONS-FOR-A-LONG-RANGE/99517019302346?institution=44SUR_INST","A HUGGINS; AR PACKWOOD","01/01/1994","None","Marine","University of Surrey"
"Object narratives as a methodology for mitigating marine plastic pollution: a new multidisciplinary approach, and a case study from Gal?pagos","https://openresearch.surrey.ac.uk/esploro/outputs/journalArticle/Object-narratives-as-a-methodology-for/99511518302346?institution=44SUR_INST","John Schofield; Kayleigh J. Wyles; Sean Doherty; Andy Donnelly; Jen Jones; Adam Porter","20/02/2020","Marine plastic pollution is a global environmental concern. With reference to approaches in contemporary archaeology, object biographies and psychology, this article presents the application of a novel participatory (‘World Café’) methodology that aims both to understand how marine plastic pollution occurs and to demonstrate the value of the approach for encouraging behaviour change. As proof of concept, the authors present the preliminary results of fieldwork involving local people in the Galápagos archipelago to demonstrate the benefits of an archaeological approach in developing new frameworks to help mitigate this critical environmental threat.","Marine","University of Surrey"
