"Title","Href","Author","Date","Abstract","Keywords","University Name"
"Responsible AI practice and AI education are central to AI implementation: a rapid review for all medical imaging professionals in Europe","https://pure.ulster.ac.uk/en/publications/responsible-ai-practice-and-ai-education-are-central-to-ai-implem","Walsh, G.; Stogiannos, N.; van de Venter, R.; Rainey, C.; Tam, W.; McFadden, S.; McNulty, J. P.; Mekis, N.; Lewis, S.; O'Regan, T.; Kumar, A.; Huisman, M.; Bisdas, S.; Kotter, E.; Pinto dos Santos, D.; Sá dos Reis, C.; van Ooijen, P.; Brady, A. P.; Malamateniou, C.","31 Aug 2023","Artificial intelligence (AI) has transitioned from the lab to the bedside, and it is increasingly being used in healthcare. Radiology and Radiography are on the frontline of AI implementation, because of the use of big data for medical imaging and diagnosis for different patient groups. Safe and effective AI implementation requires that responsible and ethical practices are upheld by all key stakeholders, that there is harmonious collaboration between different professional groups, and customised educational provisions for all involved. This paper outlines key principles of ethical and responsible AI, highlights recent educational initiatives for clinical practitioners and discusses the synergies between all medical imaging professionals as they prepare for the digital future in Europe. Responsible and ethical AI is vital to enhance a culture of safety and trust for healthcare professionals and patients alike. Educational and training provisions for medical imaging professionals on AI is central to the understanding of basic AI principles and applications and there are many offerings currently in Europe. Education can facilitate the transparency of AI tools, but more formalised, university-led training is needed to ensure the academic scrutiny, appropriate pedagogy, multidisciplinarity and customisation to the learners' unique needs are being adhered to. As radiographers and radiologists work together and with other professionals to understand and harness the benefits of AI in medical imaging, it becomes clear that they are faced with the same challenges and that they have the same needs. The digital future belongs to multidisciplinary teams that work seamlessly together, learn together, manage risk collectively and collaborate for the benefit of the patients they serve.","AI","Ulster University"
"AI in the life sciences","https://pure.ulster.ac.uk/en/publications/ai-in-the-life-sciences-3","Dubitzky, W.; Azuaje, FJ.","Oct 2003","None","AI","Ulster University"
"General Introduction to AI for Radiographers","https://pure.ulster.ac.uk/en/publications/general-introduction-to-ai-for-radiographers","Doherty, G.; Bond, RR.; Mc Laughlin, L.; Hughes, C.; Rainey, C.; McConnell, J.; McFadden, S.","12 Sept 2023","None","AI","Ulster University"
"Whither AI in Test and Diagnosis","https://pure.ulster.ac.uk/en/publications/whither-ai-in-test-and-diagnosis-3","Fenton, W.; McGinnity, TM.; Maguire, LP.","Aug 2001","None","AI","Ulster University"
"Panel Discussion- AI in the Screen Industries: Presentation- Character Building ","https://pure.ulster.ac.uk/en/publications/panel-discussion-ai-in-the-screen-industries-presentation-charact","Maguire, G.","3 Dec 2020","A talk by Kevin Beimers, Dr Darryl Charles, Tom Gray, Kris Kelly and Greg Maguire (Italic Pig Ltd, Ulster University, Kainos/NI Screen, Enteryes and Humain).Maguire presents the research developments of HUMAIN showing a demonstration video showcasing developments (2 hrs: 2 mins) followed by the Panel Discussion on the future of Artificial Intelligence (2 hrs: 51mins).AI in the Screen IndustriesAI Con 2020 is for everyone who wants to learn more about the capabilities, opportunities and challenges of using AI to enhance business across all Sectors from the Arts to Zoology. We will look at the current state of AI Technology and it's evolving maturity, how it is being successfully applied in Startups, Enterprises and the Public Sector, and how platform providers like Amazon and Microsoft are making it easier and cheaper to use in business. We'll be joined by expert speakers from both technology and solution providers, and organizations that are successfully applying AI to their business.","AI","Ulster University"
"AI: the Missing Link in Digital Game Interface Design?","https://pure.ulster.ac.uk/en/publications/ai-the-missing-link-in-digital-game-interface-design-3","Charles, DK.; Livingstone, D.","Sept 2004","None","AI","Ulster University"
"Conversational AI: Dialogue Systems, Conversational Agents, and Chatbots","https://pure.ulster.ac.uk/en/publications/conversational-ai-dialogue-systems-conversational-agents-and-chat","Mctear, M.","30 Oct 2020","This book provides a comprehensive introduction to Conversational AI. While the idea of interacting with a computer using voice or text goes back a long way, it is only in recent years that this idea has become a reality with the emergence of digital personal assistants, smart speakers, and chatbots. Advances in AI, particularly in deep learning, along with the availability of massive computing power and vast amounts of data, have led to a new generation of dialogue systems and conversational interfaces. Current research in Conversational AI focuses mainly on the application of machine learning and statistical data-driven approaches to the development of dialogue systems. However, it is important to be aware of previous achievements in dialogue technology and to consider to what extent they might be relevant to current research and development. Three main approaches to the development of dialogue systems are reviewed: rule-based systems that are handcrafted using best practice guidelines; statistical data-driven systems based on machine learning; and neural dialogue systems based on end-to-end learning. Evaluating the performance and usability of dialogue systems has become an important topic in its own right, and a variety of evaluation metrics and frameworks are described. Finally, a number of challenges for future research are considered, including: multimodality in dialogue systems, visual dialogue; data efficient dialogue model learning; using knowledge graphs; discourse and dialogue phenomena; hybrid approaches to dialogue systems development; dialogue with social robots and in the Internet of Things; and social and ethical issues.","AI","Ulster University"
"AI in drug discovery and its clinical relevance","https://pure.ulster.ac.uk/en/publications/ai-in-drug-discovery-and-its-clinical-relevance","Qureshi, R.; Irfan, M.; Gondal, T. M.; Khan, S.; Wu, J.; Hadi, M. U.; Heymach, J.; Le, X.; Yan, H.; Alam, T.","31 Jul 2023","The COVID-19 pandemic has emphasized the need for novel drug discovery process. However, the journey from conceptualizing a drug to its eventual implementation in clinical settings is a long, complex, and expensive process, with many potential points of failure. Over the past decade, a vast growth in medical information has coincided with advances in computational hardware (cloud computing, GPUs, and TPUs) and the rise of deep learning. Medical data generated from large molecular screening profiles, personal health or pathology records, and public health organizations could benefit from analysis by Artificial Intelligence (AI) approaches to speed up and prevent failures in the drug discovery pipeline. We present applications of AI at various stages of drug discovery pipelines, including the inherently computational approaches of de novo design and prediction of a drug's likely properties. Open-source databases and AI-based software tools that facilitate drug design are discussed along with their associated problems of molecule representation, data collection, complexity, labeling, and disparities among labels. How contemporary AI methods, such as graph neural networks, reinforcement learning, and generated models, along with structure-based methods, (i.e., molecular dynamics simulations and molecular docking) can contribute to drug discovery applications and analysis of drug responses is also explored. Finally, recent developments and investments in AI-based start-up companies for biotechnology, drug design and their current progress, hopes and promotions are discussed in this article.","AI","Ulster University"
"eZiGait: Toward an AI Gait Analysis And Sssistant System","https://pure.ulster.ac.uk/en/publications/ezigait-toward-an-ai-gait-analysis-and-sssistant-system","McCalmont, G.; Morrow, P.; Zheng, H.; Samara, A.; Yasaei, S.; Wang, H. . HY.; McClean, S. I.","3 Dec 2018","Objectively assessing gait function in lower limb rehabilitation remains a challenge in healthcare. This paper proposed the framework of AI gait analysis and assessment system eZiGait, which is based on seamless smart insoles. The preliminary study of activity recognition using eZiGait is presented. Walking data for five types of activities including slow walking, normal walking, fast walking, climbing upstairs, and walking down stairs have been investigated. Three classifiers were used, including artificial neural network (ANN), k-nearest neighbour (KNN) and random forest, to classify the five exercises. Results shows that a classification accuracy of 80% can be achieved with the ANN or 70% with KNN and random forest. This demonstrates that simple features extracted from smart insoles can be used to classify different types of exercise. This provides for potential development of an AI gait analysis and assistant system to support lower limb rehabilitation at hospital, community or at home using state-of-the-art smart insoles and mobile technologies.","AI","Ulster University"
"Beauty Is in the AI of the Beholder: Are We Ready for the Clinical Integration of Artificial Intelligence in Radiography? An Exploratory Analysis of Perceived AI Knowledge, Skills, Confidence, and Education Perspectives of UK Radiographers","https://pure.ulster.ac.uk/en/publications/beauty-is-in-the-ai-of-the-beholder-are-we-ready-for-the-clinical","Rainey, C.; O'Regan, T.; Matthew, J.; Skelton, E.; Woznitza, N.; Chu, K-Y.; Goodman, S.; McConnell, J.; Hughes, C.; Bond, RR.; McFadden, S.; Malamateniou, C.","11 Nov 2021","The use of artificial intelligence (AI) in medical imaging and radiotherapy has been met with both scepticism and excitement. However, clinical integration of AI is already well-underway. Many authors have recently reported on the AI knowledge and perceptions of radiologists/medical staff and students however there is a paucity of information regarding radiographers. Published literature agrees that AI is likely to have significant impact on radiology practice. As radiographers are at the forefront of radiology service delivery, an awareness of the current level of their perceived knowledge, skills, and confidence in AI is essential to identify any educational needs necessary for successful adoption into practice. The aim of this survey was to determine the perceived knowledge, skills, and confidence in AI amongst UK radiographers and highlight priorities for educational provisions to support a digital healthcare ecosystem. A survey was created on Qualtrics® and promoted via social media (Twitter®/LinkedIn®). This survey was open to all UK radiographers, including students and retired radiographers. Participants were recruited by convenience, snowball sampling. Demographic information was gathered as well as data on the perceived, self-reported, knowledge, skills, and confidence in AI of respondents. Insight into what the participants understand by the term ""AI"" was gained by means of a free text response. Quantitative analysis was performed using SPSS® and qualitative thematic analysis was performed on NVivo®. Four hundred and eleven responses were collected (80% from diagnostic radiography and 20% from a radiotherapy background), broadly representative of the workforce distribution in the UK. Although many respondents stated that they understood the concept of AI in general (78.7% for diagnostic and 52.1% for therapeutic radiography respondents, respectively) there was a notable lack of sufficient knowledge of AI principles, understanding of AI terminology, skills, and confidence in the use of AI technology. Many participants, 57% of diagnostic and 49% radiotherapy respondents, do not feel adequately trained to implement AI in the clinical setting. Furthermore 52% and 64%, respectively, said they have not developed any skill in AI whilst 62% and 55%, respectively, stated that there is not enough AI training for radiographers. The majority of the respondents indicate that there is an urgent need for further education (77.4% of diagnostic and 73.9% of therapeutic radiographers feeling they have not had adequate training in AI), with many respondents stating that they had to educate themselves to gain some basic AI skills. Notable correlations between confidence in working with AI and gender, age, and highest qualification were reported. Knowledge of AI terminology, principles, and applications by healthcare practitioners is necessary for adoption and integration of AI applications. The results of this survey highlight the perceived lack of knowledge, skills, and confidence for radiographers in applying AI solutions but also underline the need for formalised education on AI to prepare the current and prospective workforce for the upcoming clinical integration of AI in healthcare, to safely and efficiently navigate a digital future. Focus should be given on different needs of learners depending on age, gender, and highest qualification to ensure optimal integration. [Abstract copyright: Copyright © 2021 Rainey, O'Regan, Matthew, Skelton, Woznitza, Chu, Goodman, McConnell, Hughes, Bond, McFadden and Malamateniou.]","AI","Ulster University"
