"Title","Href","Author","Date","Abstract","Keywords","University Name"
"Impact of disinfectant on the electrical outputs of urine-fed ceramic and membrane-less microbial fuel cell cascades","https://uwe-repository.worktribe.com/output/11616388/impact-of-disinfectant-on-the-electrical-outputs-of-urine-fed-ceramic-and-membrane-less-microbial-fuel-cell-cascades"," Jiseon You; Xavier Alexis Walter;  Iwona Serruys;  John Greenman;  Yannis Ieropoulos","Feb 29, 2024","The application of microbial fuel cells in sanitation has demonstrated feasibility in supplying electricity and providing safety in underserved communities, especially at toilet blocks. Two different designs of urine fed MFC cascades, ceramic MFCs (c-MFC) and self-stratifying MFCs (s-MFC), have been employed in large-scale feasibility studies. As part of a pre-commercialisation approach, this study verified the resilience of each design when a commercial disinfectant was introduced into the system. Five different conditions, varying in concentrations (24.2 mM–604.5 mM) and the total volume (50–500 mL) of sodium hypochlorite disinfectant introduced, were tested. Upon adding the disinfectant, both types of MFC-cascades exhibited rapid power drops with response times lower than 5 min in all tested conditions, followed by relatively swift recovery times of up to 250 min. The volume of disinfectant introduced had a greater impact on power output than its concentration or dose. Comparing the two designs, the c-MFC demonstrated a much larger voltage drop, up to 0 mV, and shorter recovery time compared to the s-MFC under most test conditions, mainly attributed to the presence (c-MFC) or absence (s-MFC) of a membrane. Overall, both types of MFCs exhibited strong resilience to sodium hypochlorite additions, thereby highlighting the commercial potential of the technology towards safe off-grid sanitation.","Tech","University of the West of England"
"Household water containers: Mitigating risks for improved Modular, Adaptive, and Decentralized (MAD) water systems","https://uwe-repository.worktribe.com/output/11621977/household-water-containers-mitigating-risks-for-improved-modular-adaptive-and-decentralized-mad-water-systems"," Chad Staddon; Alexandra Brewis","Apr 30, 2024","While the literature on the design and operation of safe water sources in low-income communities is huge, little attention has been paid to the design of systems for the safe transportation and storage of water by households between source and point of use. The design of water containers like the near-ubiquitous “jerry can” in relation to how they are used and the potential risks incurred has received little attention. This is despite, as we explain, the strong influence that water container design has on hazards associated with fetching and storing water. This paper advances the argument that MAD (“modular, adaptive and decentralised”) approaches to rethinking water containers are possible and points to examples that have been trialled in different locations around the world. Placed in a broader theoretical framework, the objects that are used as water containers can even be viewed as “engines of history” through which human communities interact with the (water) environment and can create off-grid infrastructures. Key suggestions for design improvement include recognizing the role of water containers in heterogenous networks and in wider socio-technical systems that can reinforce marginalization, and the critical need for localized, community-collaborative co-production.","Tech","University of the West of England"
"Digital technology in engineering design teaching","https://uwe-repository.worktribe.com/output/11085914/digital-technology-in-engineering-design-teaching","Rod Valentine; Dr Jason Matthews","2023","Digital technology is widely used in engineering design teaching, enabling students to create parametric  models of their solutions and data files for computer-aided manufacture (CAM). However, the digital  industry is predicted to grow significantly throughout the decade and, in particular, digital twin  applications. This paper compares the digital environment in engineering design teaching at two  universities in terms of how their design teaching uses digital methods. The design projects and units in  which digital technology is taught are identified and compared to give a broader understanding of the  benefits and challenges to the teaching delivery. The different levels of technology in the digital  environment are mapped against the academic years to understand the teaching strategy for large cohorts of students. At both universities, design teaching uses drawing practice to build the fundamentals of CAD modelling and give students the opportunity to manufacture their own designs by using digital technology to  produce CAM data files. Both universities deal with large cohorts and have adopted different strategies  for dealing with the inherit challenges this brings. The delivery of digital simulation is shown to be  similar, but contrasts at the digital twin level, where significant resource is committed.","Tech","University of the West of England"
"Building information modeling (BIM) in project management: A bibliometric and science mapping review","https://uwe-repository.worktribe.com/output/11547374/building-information-modeling-bim-in-project-management-a-bibliometric-and-science-mapping-review","Zhaofeng Ye; Maxwell Fordjour Antwi-Afari; Algan Tezel;  Patrick Manu","None","Purpose – The impact of building information modeling (BIM) on various aspects of project management has attracted much attention in the past decade. However, previous studies have focused on a particular facet of project management (e.g., safety, quality, facility management) and within identified target journals. Despite numerous existing studies, there is limited research on the mainstream research topics, gaps, and future research directions on BIM in project management. This study aims to conduct a bibliometric and science mapping review of published articles on BIM in project management and to identify mainstream research topics, research gaps, and future research directions in this domain. Design/methodology/approach – A science mapping approach consisting of bibliometric search, scientometric analysis, and qualitative discussion was used to analyze 521 journal articles that were retrieved from the Scopus database and related to BIM in project management. In the scientometric analysis, keyword co-occurrence analysis and document analysis were performed. This was followed by a qualitative discussion that seeks to propose a framework summarizing the interconnection between the mainstream research topics, research gaps, and future research directions. Findings – Six mainstream research topics were found including (1) BIM-enabled advanced digital technologies, (2) BIM-based reinforcement and enhancement, (3) BIM and project composition, (4) BIM project elements and attributes, (5) BIM-based collaboration and communication, and (6) BIM-based information and data. Moreover, this study discussed six research gaps, namely (1) integration of BIM and other digital technologies, (2) future maturity of BIM applications in project management, (3) application of BIM in project components and processes, (4) role of BIM application in project elements and attributes, (5) impact of collaboration and communication in BIM application, and (6) stability of information and data interaction. Furthermore, future research directions were discussed. Originality – The findings and proposed framework contribute to providing a deeper understanding to researchers, policymakers, and practitioners in the development of related research and practice in the domain of BIM in project management, thus, promoting digital transformation in project management. Overall, it adds to the global knowledge domain in BIM and promotes the need for digital and data integration, BIM maturity, and BIM collaboration.","Tech","University of the West of England"
"Digitalization and employment relations in the retail sector. Examining the role of trade unions in Italy and Spain","https://uwe-repository.worktribe.com/output/11462615/digitalization-and-employment-relations-in-the-retail-sector-examining-the-role-of-trade-unions-in-italy-and-spain","Arianna Marcolin;  Stefano Gasparri","None","This article investigates trade union responses to in-store digitalization in retail in Italy and Spain. It considers critical issues often associated with the digital transformation of work including excessive work flexibility, high levels of monitoring and skills mismatch. It goes on to discuss two alternative employment relations developments: a ‘low road’, along which digitalization enhances market regulation and employers’ ability to control the workforce unilaterally; or a ‘high road’, where digitalization allows for better working conditions as well as business productivity. Drawing on documentary analysis, semi-structured interviews with trade union leaders, and content analysis of collective agreements signed at the sector, territorial and company level, findings report how Italian and Spanish trade unions attempt to use in-store digitalization to increase their leverage and aim for the high road. Overall, this work confirms the challenges of deterring the retail sector from pursuing the low road while highlighting some institutional factors and trade union strategies that can make the difference.","Tech","University of the West of England"
"The power of a HUG: Implementation of assistive technology across a health board","https://uwe-repository.worktribe.com/output/11415408/the-power-of-a-hug-implementation-of-assistive-technology-across-a-health-board","Dr Jac Fennell; Matthew Lloyd","None","HUG, a soft comforter specifically designed for individuals with advanced dementia, was developed by the HUG by LAUGH team at Cardiff Metropolitan University. With weighted arms and legs, a soft body, and a simulated beating heart, HUG aims to provide comfort and promote connection. It features a built-in music player that can be programmed to play the favourite music of the person with dementia.  The HUG has been proven to reduce agitation and anxiety, and support comfort and connection for the person living with dementia to the world around them, their carers and their families. Through extensive research and development, HUG has transitioned from a university research prototype to a market-ready product. In 2021, it was launched by the spinout company HUG by LAUGH, with support from the Alzheimer's Society Accelerator Programme. Since its introduction, HUG has gained popularity worldwide, positively impacting the lives of thousands of individuals.  This paper focuses on the implementation of HUG as an assistive technology tool within a Welsh health board, specifically the Aneurin Bevan University Health Board (ABUHB). The ABUHB initiated the largest trial to date with 500 HUGs being used across the region, funded by the Gwent Regional Partnership. As the first health board to introduce HUG across all dementia care settings including community, care homes, and hospitals, ABUHB aimed to evaluate its effectiveness and address the challenges associated with implementing new assistive technologies in care settings.  To ensure a successful rollout, the HUG by LAUGH implementation group was formed to guide the process, raise awareness, and ensure equitable distribution across the Gwent region. In partnership with TEC Cymru, the HUG by LAUGH service evaluation began in July 2022, involving a series of case studies that highlight both the challenges and positive outcomes of implementing HUG at scale across various care settings. This presentation will share the findings of these case studies and provide insights into the future of assistive technology, particularly in care settings where products like HUG can make a significant impact.","Tech","University of the West of England"
"Paper tensions: From flipbooks to scanners – the role of paper in moving image practices","https://uwe-repository.worktribe.com/output/10881038/paper-tensions-from-flipbooks-to-scanners-the-role-of-paper-in-moving-image-practices","Amanda Egbe","Oct 30, 2023","Concerning the materiality of reproduction and duplication in film, this chapter explores the overlap of moving image and paper technologies. It presents an assemblage of paper related moving image artefacts: paper prints, posters, flipbooks, optical printers, scanners, pre-cinematic, early and digital cinema technologies, to explore what we can understand about the moving image when viewed outside of the cinematic apparatus of screen and auditorium. By considering the moving image and its history as an assemblage of overlapping mediums, we broaden our understanding of moving image technology in its material and immaterial aspects. This chapter explores how subjects and technologies interact. The paper begins with Elsaesser’s assertion that there is a need for a new mapping of the moving image in the wake of research on early cinema to better our understanding of audio-visual media technologies. Utilising media archaeology and cultural techniques, this paper explores the connections between print media, film reproduction, and digital scanners. The chapter concludes that archival film practices of duplication are dynamically co-created through networks of technology and subject forming changeable expressions of practice.","Tech","University of the West of England"
"Exploring the potential of a pronunciation guide app to support non-native speaking students in higher education","https://uwe-repository.worktribe.com/output/9749442/exploring-the-potential-of-a-pronunciation-guide-app-to-support-non-native-speaking-students-in-higher-education"," David Western","None","Non-native speaking (NNS) students form an important part of the student population in the UK and many other countries’ higher education sectors. They face numerous additional challenges compared with their native speaking counterparts. Software to support language skill development among these students could be an important way to offer a more equitable university experience. This study evaluates the potential of a mobile pronunciation guide app for this purpose, based on a survey that captured perceptions of 96 non-native English speaking students at a UK university. The results indicate demand and promise for such a tool to support NNS students and thus provide greater equality of education experience.","Tech","University of the West of England"
"Vadose zone water stable isotope profiles for assessing groundwater recharge: Sensitivity to seasonal soil sampling","https://uwe-repository.worktribe.com/output/11170349/vadose-zone-water-stable-isotope-profiles-for-assessing-groundwater-recharge-sensitivity-to-seasonal-soil-sampling","Lamine Boumaiza; Romain Chesnaux; Tarek Drias; Randy L. Stotler; Grzegorz Skrzypek; Marina Gillon;  Heike Wanke; Karen H. Johannesson; Christine Stumpp","Nov 30, 2023","Groundwater recharge is widely recognized as being the most important parameter for the sustainable management of water resources. In semiarid environments, groundwater recharge can be quantified using the piston displacement method (PDM). From a single soil sampling campaign, the PDM relies on linking the deeper vadose zone soil pore water stable isotope composition (δ2HH2O and δ18OH2O) to the local meteoric water line (LMWL). However, the isotopic composition of precipitation changes seasonally, influencing the water isotope composition of the vadose zone over time. Thus, it is important to test whether the PDM is sensitive to seasonal soil sampling and whether the assessed recharge rate is independent of the time of sampling. This study investigates the effect of seasonal soil sampling on the distribution of vadose zone stable isotope composition to determine whether the sampling time influences the estimate of recharge rate from PDM. Soil samples were obtained along vertical profiles through the vadose zone in a semiarid region during the spring, summer, and autumn seasons. Specifically, the δ2HH2O and δ18OH2O of the soil pore water were determined along vertical profiles, and the PDM was applied to quantify the annual recharge. The δ2HH2O and δ18OH2O values range from −7.3 to −3.5 ‰ and from −54.4 to +7.41 ‰, respectively, and plot along a continuum with a slope less than the LMWL. Samples from deeper in the vadose zone profile had distinct ranges in isotopic composition between the three soil sampling campaigns, with isotopic composition of spring sampling dominated by lower values and those from autumn with higher values. Despite these differences, the resulting annual recharge rates from the different sampling campaigns are comparable (1.5 to 2 % of annual precipitation). Even though the pore water isotopic composition changed over time, the shift between the deeper vadose zone isotopic compositions and the LMWL remained relatively constant, leading to a similar recharge estimate over time. Therefore, the PDM-based recharge assessment in the tested semiarid environment is independent of the sampling time, which indicates that sampling for assessing groundwater recharge can be undertaken during any season.","Tech","University of the West of England"
"Potential applications of photovoltaic technologies for biomimetic adaptive solar building envelopes","https://uwe-repository.worktribe.com/output/11128958/potential-applications-of-photovoltaic-technologies-for-biomimetic-adaptive-solar-building-envelopes","Sara Jalali; Eleonora Nicoletti;  Lidia Badarnah","None","Building envelope as an interface between the outside and inside of the building serves more than its loadbearing function and has a pivotal role in regulating and saving energy. This role necessitates the adaptability of the building envelope to the surrounding environment like what natural organisms do in response to different stimuli in nature. Solar energy as one of the momentous renewable energy resources can be harvested and regulated following principles inspired by natural organisms' strategies through the building envelope. Nowadays, photovoltaic (PV) technologies have advanced significantly and therefore could offer lots of possibilities for the design of biomimetic adaptive solar building envelopes (Bio-ASBEs). In this regard, the focus of this study lies in reviewing selected PV technologies and providing a pilot comparative analysis between three PV technologies including crystalline silicon, perovskite, and organic solar cells in order to identify limitations, challenges, and opportunities for advanced applications in Bio-ABSE.","Tech","University of the West of England"
