"Title","Href","Author","Date","Abstract","Keywords","University Name"
"Joint multi-objective optimization for radio access network slicing using multi-agent deep reinforcement learning.","https://wrap.warwick.ac.uk/175499/","Zhou, Guorong; Zhao, Liqiang; Zheng, Gan; Xie, Zhijie; Song, Shenghui; Chen, Kwang-Cheng","September 2023","Radio access network (RAN) slices can provide various customized services for next-generation wireless networks. Thus, multiple performance metrics of different types of RAN slices need to be jointly optimized. However, existing efforts in multi-objective optimization problem (MOOP) for RAN slicing are only in the scalar form, which is difficult to achieve simultaneous optimization. In this paper, we consider a non-scalar MOOP for RAN slicing with three types of slices, i.e. , the high-bandwidth slice, the low-delay slice, and the wide-coverage slice over the same underlying physical network. We jointly optimize the throughput, the transmission delay, and the coverage area by user-oriented dynamic virtual base stations (vBSs)' deployment, and sub-channel and power allocation. An improved multi-agent deep deterministic policy gradient (IMADDPG) algorithm, having the characteristics of centralized training and distributed execution, is proposed to solve the above non-deterministic polynomial-time hard (NP-hard) problem. The rank voting method is introduced in the inference process to obtain near-Pareto optimal solutions. Simulation results verify that the proposed scheme can ensure better performance than the traditional scalar utility method and other benchmark algorithms. The proposed scheme has the advantage of flexibly approaching any point of the Pareto boundary, while the traditional scalar method only subjectively approaches one of the Pareto optimal solutions. Furthermore, our proposal strikes a compelling tradeoff among three types of RAN slices due to the non-dominance between Pareto optimal solutions.","AI","Warwick University"
"Competition and misconduct.","https://wrap.warwick.ac.uk/161759/","Thanassoulis, John","August 2023","Misconduct is widespread. Practices such as misselling, pump and dump, and money laundering cause harm while raising profits. This paper presents a mechanism that can determine what sorts of misconduct can be sustained in competitive equilibrium in concentrated markets, oligopoly settings, and markets with many small competing firms. The model studied allows general demand and distinguishes types of ethical dilemma using current psychological understanding. The paper shows, for example, that markets with many small competing firms are not vulnerable to misconduct if firms respond to entry with niche strategies or if the ethical dilemma draws an emotional response.","AI","Warwick University"
"Strategies for enhancing electrochemical CO2 reduction to multi-carbon fuels on copper.","https://wrap.warwick.ac.uk/178888/","Li, Xin; Chen, Yuxin; Zhan, Xinyu; Xu, Yiwen; Hao, Leiduan; Xu, Liang; Li, Xueying; Umer, Muhammad; Tan, Xinyi; Han, Buxing; Robertson, Alex W.; Sun, Zhenyu","July 2023","Productively harnessing CO2 as a reactant is of practical interest due to addressing the dual pressures of resource sustainability and environmental sustainability. Electrochemical CO2 reduction (ECR) offers a promising approach for driving the chemical transformation of CO2 by exploiting green renewably generated electricity at (near) room temperature and ambient pressure, facilitating a sustainable, low-carbon footprint future. In this work, we provide a comprehensive and timely review of the various avenues that have been developed to date to modulate product selectivity, stability, and efficiency toward C2+ using Cu-based electrocatalysts. We discuss how the electrocatalyst structure can be effectively designed in order to boost performance. Special attention is paid to some of the critical intermediate species that shed light on CO2 reduction paths. We will also discuss the application of in situ and operando spectroscopy, along with computational techniques, that help to improve our fundamental understanding of ECR. Finally, development opportunities and challenge in the conversion of CO2 into multi-carbon fuels by Cu-based electrocatalysts are presented.","AI","Warwick University"
"Decolonizing the criminal question : colonial legacies, contemporary problems.","https://wrap.warwick.ac.uk/170807/","Aliverti, Ana J.; Carvalho, Henrique; Chamberlen, Anastasia; Sozzo, Maximo","June 2023","Within the discipline of criminology and criminal justice, relatively little attention has been paid to the relationship between criminal law, punishment, and imperialism, or the contours and exercise of penal power in the Global South. Decolonizing the Criminal Question is the first work of its kind to comprehensively place colonialism and its legacies at the heart of criminological enquiry.","AI","Warwick University"
"Foucault as translator of Binswanger and von Weizsäcker.","https://wrap.warwick.ac.uk/138694/","Elden, Stuart","March 2023","Foucault’s Introduction to a translation of Ludwig Binswanger’s essay ‘Dream and Existence’ was published in late 1954. The translation was credited to Jacqueline Verdeaux, with Foucault acknowledged for the notes. Yet Verdeaux herself indicates the intensely collaborative nature of their working process and the translation. In 1958, Victor von Weizsäcker’s Der Gestaltkreis was published in French as Le Cycle de la structure, translated by Foucault and Daniel Rocher. Foucault went on to translate and introduce Immanuel Kant’s Anthropology as his secondary doctoral thesis. His engagement with Kant and Binswanger’s ideas has been discussed in the literature, but his role as translator has generally been neglected. His engagement with von Weizsäcker is almost never mentioned. This article critically discusses Foucault’s role in the Binswanger and von Weizsäcker translations, comparing the German originals with the French texts, and showing how this is a useful additional element to the story of the early Foucault.","AI","Warwick University"
"A phenomenological model for electrical transport characteristics of MSM contacts based on GNS.","https://wrap.warwick.ac.uk/173818/","Rahmani, Meisam; Ghafoorifard, Hassan; Ahmadi, Mohammad Taghi","January 2023","Graphene nanoscroll, because of attractive electronic, mechanical, thermoelectric and optoelectronics properties, is a suitable candidate for transistor and sensor applications. In this research, the electrical transport characteristics of high-performance field effect transistors based on graphene nanoscroll are studied in the framework of analytical modeling. To this end, the characterization of the proposed device is investigated by applying the analytical models of carrier concentration, quantum capacitance, surface potential, threshold voltage, subthreshold slope and drain induced barrier lowering. The analytical modeling starts with deriving carrier concentration and surface potential is modeled by adopting the model of quantum capacitance. The effects of quantum capacitance, oxide thickness, channel length, doping concentration, temperature and voltage are also taken into account in the proposed analytical models. To investigate the performance of the device, the current-voltage characteristics are also determined with respect to the carrier density and its kinetic energy. According to the obtained results, the surface potential value of front gate is higher than that of back side. It is noteworthy that channel length affects the position of minimum surface potential. The surface potential increases by increasing the drain-source voltage. The minimum potential increases as the value of quantum capacitance increases. Additionally, the minimum potential is symmetric for the symmetric structure (Vfg = Vbg). In addition, the threshold voltage increases by increasing the carrier concentration, temperature and oxide thickness. It is observable that the subthreshold slope gets closer to the ideal value of 60 mV/dec as the channel length increases. As oxide thickness increases the subthreshold slope also increases. For thinner gate oxide, the gate capacitance is larger while the gate has better control over the channel. The analytical results demonstrate a rational agreement with existing data in terms of trends and values.","AI","Warwick University"
"The skeleton of plasma turbulence : applications of nonlinear dynamical systems theory to a subcritical plasma turbulence model.","https://wrap.warwick.ac.uk/182650/","Smith, Oliver Joel","January 2023","The formation of localised travelling structures in plasma turbulence is investigated through the application of dynamical systems methods novel to plasma physics contexts. These methods involve studying a plasma model by identifying model solutions known as relative periodic orbits (RPOs). RPOs are a generalisation of periodic solutions which allow for symmetries, and collectively form a ‘skeleton’ in phase space representing the set of solutions the system can approach and move between. Locating and categorising these RPOs and their overall structure in parameter space gives a new framework through which plasma turbulence can be analysed, allowing complex fully nonlinear structures to be identified and isolated, and the structure of turbulence to be better understood. This RPO-based approach has been applied in neutral fluid systems and has aided the understanding of similar bursty behaviour in contexts such as pipe flow [Pringle et al., Phil. Trans. R. Soc. A 367, 457 (2009)] and Couette flow [Viswanath, D., J. Fluid Mech. 580, 339 (2007)].","AI","Warwick University"
"Cybersecurity in the automotive industry : a systematic literature review (SLR).","https://wrap.warwick.ac.uk/168110/","Fernandez de Arroyabe, Ignacio; Watson, Tim; Angelopoulou, Olga","April 2023","This paper presents a systematic literature review (SLR) on cybersecurity in the automotive industry. Using the R tool Bibliometrix, a total of 537 papers related to cybersecurity and the automotive industry were analyzed. First, our paper contributes to academia by showing that research on this topic is grouped into four clusters that correspond to four lines of research: Automotive Security; Vehicle Engineering; Smart Vehicle; IT Security. Second, our paper contributes to the literature by highlighting the existing gaps. On the subject of standards and framework, there are gaps in terms of what the security requirements must be for the vehicle. This is very important since, given the heterogeneity of technology that vehicles from different manufacturers have, the cybersecurity requirements are different. Additionally, a gap can also be observed in the literature on the supply chain, which has a very small number of papers. In general, they do not cover or elaborate on the supply chain security, when, from a manufacturing point of view, it is very important to manage an effective cybersecurity strategy for the vehicles. Moreover, our paper also contributes to managers and policy-makers’ understanding of cybersecurity. We show that adequate implementation of cybersecurity in the automotive must involve a multidimensional perspective. First, it should be a multistage model, ranging from the first stages of design in interconnection with the suppliers to the final stages of use by the customer. Second, it should be a multi-level model, as a consequence of the interconnection of the vehicle’s control systems. Finally, the model should be multi-feedback, structuring the process design as a feedback system, including incident response, diagnosis services and vehicle updates.","AI","Warwick University"
"Space-time integral currents of bounded variation.","https://wrap.warwick.ac.uk/169829/","Rindler, Filip","December 2022","Motivated by a recent model for elasto-plastic evolutions that are driven by the flow of dislocations, this work develops a theory of space-time integral currents with bounded variation in time, which enables a natural variational approach to the analysis of rate-independent geometric evolutions. Based on this, we further introduce the notion of Lipschitz deformation distance between integral currents, which arises physically as a (simplified) dissipation distance. Several results are obtained: A Helly-type compactness theorem, a deformation theorem, an isoperimetric inequality, and the equivalence of the convergence in deformation distance with the classical notion of weak* (or flat) convergence. Finally, we prove that the Lipschitz deformation distance agrees with the (integral) homogeneous Whitney flat metric for boundaryless currents. Physically, this means that two seemingly different ways to measure the dissipation actually coincide.","AI","Warwick University"
"A study of solar quasi-oscillatory signals.","https://wrap.warwick.ac.uk/178940/","Mehta, Tishtrya","December 2022","We observe quasi-oscillatory behaviour frequently in solar data, for example in the quasi-biennial oscillation visible in magnetic activity proxies and quasi-periodic pulsations in flares. These behaviours have to be fully understood in order for our solar models to be complete. We can assess these behaviours using a host of analysis techniques that are capable of tracking the quasi-periodicities inherent in these data. In this thesis we use Empirical Mode Decomposition on helioseismic data to examine the quasi biennial oscillation and establish that there is a significant risk of spurious detections when used on short duration data. We also use a combination of the Fast Fourier Transform and Wavelet analysis to obtain the prevalence of non-stationarity in quasi-periodic pulsations using GOES data. We find that quasi-periodic behaviours are extremely common in solar data. We determine that the relative amplitude of the quasi-biennial oscillation is correlated with the amplitude of the solar cycle. We obtain evidence of low magnitude non-stationarity in the majority of quasi-periodic pulsations. Finally we conclude that understanding quasi-oscillatory behaviour is essential to form a complete understanding of the Sun, its dynamo, its magnetic field, and all associated behaviours.","AI","Warwick University"
